record	sig_segments	total_length
ENSP00000486295.1	1	5
ENSP00000480618.1	1	5
ENSP00000481532.1	1	5
ENSP00000374998.2	1	5
ENSP00000478893.1	1	5
ENSP00000488303.1	1	5
ENSP00000484834.1	1	5
ENSP00000481654.1	1	5
ENSP00000484205.1	1	5
ENSP00000478910.1	1	5
ENSP00000395574.2	1	5
ENSP00000476781.1	1	5
ENSP00000484196.1	1	5
ENSP00000357430.5	1	5
ENSP00000401303.2	1	5
ENSP00000357434.4	1	5
ENSP00000357438.4	1	5
ENSP00000357435.1	1	5
ENSP00000396333.1	1	5
ENSP00000404908.1	1	5
ENSP00000398864.1	1	5
ENSP00000371475.4	1	5
ENSP00000263801.3	1	5
ENSP00000371470.3	1	5
ENSP00000393497.2	1	5
ENSP00000351727.2	4	20
ENSP00000235372.6	2	14
ENSP00000411103.1	2	14
ENSP00000341621.4	2	14
ENSP00000384430.3	1	9
ENSP00000312352.5	2	14
ENSP00000318195.4	1	10
ENSP00000402460.2	2	12
ENSP00000295321.4	1	5
ENSP00000421704.1	1	5
ENSP00000421112.1	1	5
ENSP00000408524.2	1	5
ENSP00000478539.1	1	5
ENSP00000293760.5	1	5
ENSP00000460665.1	1	5
ENSP00000383785.4	1	6
ENSP00000358064.4	1	6
ENSP00000428746.2	1	7
ENSP00000433931.2	1	7
ENSP00000363323.4	1	7
ENSP00000310435.6	1	7
ENSP00000263253.7	2	12
ENSP00000310841.4	1	5
ENSP00000479703.1	1	5
ENSP00000449601.1	1	9
ENSP00000242607.8	1	9
ENSP00000349181.5	1	9
ENSP00000412052.2	1	9
ENSP00000450106.2	1	9
ENSP00000448379.1	1	9
ENSP00000447227.1	1	9
ENSP00000479812.1	1	9
ENSP00000320488.5	2	12
ENSP00000454386.1	1	5
ENSP00000442053.2	1	12
ENSP00000376344.3	1	12
ENSP00000261741.5	1	12
ENSP00000253110.10	1	8
ENSP00000467182.1	1	8
ENSP00000380978.3	1	8
ENSP00000387477.2	1	5
ENSP00000408226.1	1	5
ENSP00000398826.1	2	11
ENSP00000411476.2	2	11
ENSP00000395710.1	2	11
ENSP00000354826.2	2	11
ENSP00000354513.2	2	11
ENSP00000407522.1	2	11
ENSP00000393621.1	2	11
ENSP00000419673.1	2	11
ENSP00000376826.2	2	11
ENSP00000364603.3	1	5
ENSP00000364601.3	1	5
ENSP00000327077.8	3	18
ENSP00000428131.1	2	11
ENSP00000428123.1	1	5
ENSP00000429941.1	1	5
ENSP00000431099.1	3	18
ENSP00000430521.1	3	18
ENSP00000328332.9	3	18
ENSP00000363314.3	1	5
ENSP00000254231.4	1	5
ENSP00000373124.2	1	6
ENSP00000448634.2	1	6
ENSP00000448351.1	1	6
ENSP00000419270.1	1	5
ENSP00000420136.1	1	5
ENSP00000381010.3	1	5
ENSP00000354004.3	1	5
ENSP00000428967.1	1	5
ENSP00000463691.1	1	5
ENSP00000320622.5	1	5
ENSP00000462118.1	1	5
ENSP00000418335.1	1	5
ENSP00000346846.6	1	5
ENSP00000352088.1	1	5
ENSP00000353452.3	1	5
ENSP00000376910.2	1	5
ENSP00000436898.1	1	5
ENSP00000364277.3	1	6
ENSP00000399222.1	1	5
ENSP00000412297.2	1	5
ENSP00000412526.1	1	5
ENSP00000400589.1	1	5
ENSP00000406648.1	1	5
ENSP00000409066.1	1	5
ENSP00000297784.5	1	5
ENSP00000494684.1	1	5
ENSP00000493698.1	1	5
ENSP00000341433.3	1	5
ENSP00000451828.1	1	5
ENSP00000384293.2	1	5
ENSP00000270202.4	1	5
ENSP00000385326.2	1	5
ENSP00000450688.1	1	5
ENSP00000451166.1	1	5
ENSP00000351407.5	1	5
ENSP00000346372.2	1	5
ENSP00000423851.1	1	5
ENSP00000427571.1	1	5
ENSP00000356224.5	2	11
ENSP00000396024.1	2	11
ENSP00000356222.4	1	5
ENSP00000356217.3	1	5
ENSP00000414510.2	1	5
ENSP00000438508.1	1	5
ENSP00000341887.6	2	11
ENSP00000425243.1	1	5
ENSP00000264883.3	1	5
ENSP00000424172.1	1	5
ENSP00000421932.1	1	5
ENSP00000384160.3	2	10
ENSP00000376514.3	2	10
ENSP00000365016.3	1	5
ENSP00000494267.1	1	6
ENSP00000316842.4	1	6
ENSP00000453189.2	1	6
ENSP00000366964.3	1	6
ENSP00000270223.5	1	6
ENSP00000362945.3	1	6
ENSP00000362942.3	1	6
ENSP00000487236.1	1	5
ENSP00000385571.3	1	5
ENSP00000413724.2	1	5
ENSP00000351250.2	1	6
ENSP00000358556.2	1	6
ENSP00000249636.6	1	5
ENSP00000438574.1	1	5
ENSP00000394290.1	2	14
ENSP00000346560.3	1	5
ENSP00000419642.1	1	5
ENSP00000327880.5	1	5
ENSP00000419874.2	1	5
ENSP00000373192.2	1	5
ENSP00000477969.1	1	6
ENSP00000396462.1	1	6
ENSP00000450397.2	1	6
ENSP00000450279.1	1	6
ENSP00000392046.1	1	5
ENSP00000216241.9	1	5
ENSP00000322570.5	1	5
ENSP00000445753.1	1	5
ENSP00000479927.1	1	5
ENSP00000480727.1	1	5
ENSP00000450562.1	1	5
ENSP00000334308.4	1	5
ENSP00000452154.1	1	5
ENSP00000450774.1	1	5
ENSP00000400024.1	1	6
ENSP00000376823.3	1	6
