record	sig_segments	total_length
contig11721	1	5
contig26453	1	5
contig13936	1	5
contig28815	1	5
contig20858	1	5
contig24980	1	5
contig21450	1	6
contig26459	1	5
contig20797	1	5
contig31976	1	5
contig13004	1	5
contig11532	1	5
contig39553	1	8
contig27441	2	12
contig21599	1	5
contig26711	1	6
contig26715	1	5
contig40288	1	5
contig11099	1	5
contig11096	1	5
contig41223	1	6
contig23997	1	5
contig22576	1	5
contig31789	1	8
contig36860	1	5
contig06796	1	5
contig27291	1	5
contig14948	2	11
contig36256	2	12
contig41035	1	7
contig21127	1	5
contig29639	1	6
contig20529	2	10
contig20521	3	19
contig20527	2	11
contig22965	1	5
contig22966	2	13
contig11289	2	11
contig11287	3	17
contig13029	1	9
contig22031	1	7
contig22034	1	5
contig04658	1	7
contig09338	1	5
contig05653	1	8
contig26805	1	7
contig23980	1	5
contig30147	2	10
contig22581	1	5
contig24658	1	6
contig24380	1	5
contig24472	1	5
contig27568	1	5
contig36015	1	5
contig24401	1	5
contig28390	1	5
contig28395	1	6
contig30084	1	8
contig40096	1	7
contig12068	1	5
contig11912	1	6
contig11169	5	25
contig09578	1	5
contig21627	1	5
contig21629	1	7
contig26820	1	5
contig33508	1	8
contig21085	1	5
contig11139	3	16
contig20970	2	10
contig11135	1	5
contig11130	1	8
contig11885	1	8
contig21888	1	5
contig24459	2	13
contig29175	1	6
contig22539	1	5
contig22536	1	6
contig23223	1	5
contig36075	2	11
contig36073	1	8
contig36293	1	8
contig29882	2	15
contig08276	1	5
contig32595	1	6
contig34560	2	15
contig04970	1	5
contig24026	1	5
contig38334	1	5
contig16214	2	10
contig07723	1	7
contig13796	1	6
contig18203	1	5
contig27649	1	6
contig11481	1	5
contig20917	1	5
contig11030	1	5
contig25522	1	5
contig22518	1	5
contig23522	1	5
contig26186	1	7
contig04777	2	13
contig13895	1	5
contig36944	1	5
contig29754	2	11
contig34430	2	11
contig21769	1	5
contig13945	1	6
contig30519	1	6
contig24558	1	7
contig29030	2	16
contig33912	1	5
contig27114	1	5
contig25841	1	7
contig38716	1	8
