record	segment_length
contig29030	10
contig30820	10
contig22620	11
contig28883	14
contig34095	13
contig24888	11
contig40275	12
contig23862	18
contig15539	26
contig26308	11
contig34052	13
contig11243	15
contig31223	10
contig01159	10
contig15772	12
contig11291	12
contig36916	10
contig27121	10
contig27121	15
contig31012	11
contig40013	10
contig40013	13
contig35609	11
contig14624	10
contig14624	10
contig26271	13
contig37329	12
contig14162	12
contig16493	11
contig00710	10
contig11516	13
contig32689	12
contig32681	11
contig05257	13
contig33849	12
contig27868	12
contig27868	25
contig36039	10
contig39617	10
