record	sig_segments	total_length
contig29030	1	10
contig30820	1	10
contig22620	1	11
contig28883	1	14
contig34095	1	13
contig24888	1	11
contig40275	1	12
contig23862	1	18
contig15539	1	26
contig26308	1	11
contig34052	1	13
contig11243	1	15
contig31223	1	10
contig01159	1	10
contig15772	1	12
contig11291	1	12
contig36916	1	10
contig27121	2	25
contig31012	1	11
contig40013	2	23
contig35609	1	11
contig14624	2	20
contig26271	1	13
contig37329	1	12
contig14162	1	12
contig16493	1	11
contig00710	1	10
contig11516	1	13
contig32689	1	12
contig32681	1	11
contig05257	1	13
contig33849	1	12
contig27868	2	37
contig36039	1	10
contig39617	1	10
