record	segment_length
ENSP00000486295.1	5
ENSP00000480618.1	5
ENSP00000481532.1	5
ENSP00000374998.2	5
ENSP00000478893.1	5
ENSP00000488303.1	5
ENSP00000484834.1	5
ENSP00000481654.1	5
ENSP00000484205.1	5
ENSP00000478910.1	5
ENSP00000395574.2	5
ENSP00000476781.1	5
ENSP00000484196.1	5
ENSP00000357430.5	5
ENSP00000401303.2	5
ENSP00000357434.4	5
ENSP00000357438.4	5
ENSP00000357435.1	5
ENSP00000396333.1	5
ENSP00000404908.1	5
ENSP00000398864.1	5
ENSP00000371475.4	5
ENSP00000263801.3	5
ENSP00000371470.3	5
ENSP00000393497.2	5
ENSP00000351727.2	5
ENSP00000351727.2	5
ENSP00000351727.2	5
ENSP00000351727.2	5
ENSP00000235372.6	9
ENSP00000235372.6	5
ENSP00000411103.1	9
ENSP00000411103.1	5
ENSP00000341621.4	9
ENSP00000341621.4	5
ENSP00000384430.3	9
ENSP00000312352.5	9
ENSP00000312352.5	5
ENSP00000318195.4	10
ENSP00000402460.2	5
ENSP00000402460.2	7
ENSP00000295321.4	5
ENSP00000421704.1	5
ENSP00000421112.1	5
ENSP00000408524.2	5
ENSP00000478539.1	5
ENSP00000293760.5	5
ENSP00000460665.1	5
ENSP00000383785.4	6
ENSP00000358064.4	6
ENSP00000428746.2	7
ENSP00000433931.2	7
ENSP00000363323.4	7
ENSP00000310435.6	7
ENSP00000263253.7	6
ENSP00000263253.7	6
ENSP00000310841.4	5
ENSP00000479703.1	5
ENSP00000449601.1	9
ENSP00000242607.8	9
ENSP00000349181.5	9
ENSP00000412052.2	9
ENSP00000450106.2	9
ENSP00000448379.1	9
ENSP00000447227.1	9
ENSP00000479812.1	9
ENSP00000320488.5	7
ENSP00000320488.5	5
ENSP00000454386.1	5
ENSP00000442053.2	12
ENSP00000376344.3	12
ENSP00000261741.5	12
ENSP00000253110.10	8
ENSP00000467182.1	8
ENSP00000380978.3	8
ENSP00000387477.2	5
ENSP00000408226.1	5
ENSP00000398826.1	6
ENSP00000398826.1	5
ENSP00000411476.2	6
ENSP00000411476.2	5
ENSP00000395710.1	6
ENSP00000395710.1	5
ENSP00000354826.2	6
ENSP00000354826.2	5
ENSP00000354513.2	6
ENSP00000354513.2	5
ENSP00000407522.1	6
ENSP00000407522.1	5
ENSP00000393621.1	6
ENSP00000393621.1	5
ENSP00000419673.1	6
ENSP00000419673.1	5
ENSP00000376826.2	6
ENSP00000376826.2	5
ENSP00000364603.3	5
ENSP00000364601.3	5
ENSP00000327077.8	5
ENSP00000327077.8	6
ENSP00000327077.8	7
ENSP00000428131.1	5
ENSP00000428131.1	6
ENSP00000428123.1	5
ENSP00000429941.1	5
ENSP00000431099.1	5
ENSP00000431099.1	6
ENSP00000431099.1	7
ENSP00000430521.1	5
ENSP00000430521.1	6
ENSP00000430521.1	7
ENSP00000328332.9	5
ENSP00000328332.9	6
ENSP00000328332.9	7
ENSP00000363314.3	5
ENSP00000254231.4	5
ENSP00000373124.2	6
ENSP00000448634.2	6
ENSP00000448351.1	6
ENSP00000419270.1	5
ENSP00000420136.1	5
ENSP00000381010.3	5
ENSP00000354004.3	5
ENSP00000428967.1	5
ENSP00000463691.1	5
ENSP00000320622.5	5
ENSP00000462118.1	5
ENSP00000418335.1	5
ENSP00000346846.6	5
ENSP00000352088.1	5
ENSP00000353452.3	5
ENSP00000376910.2	5
ENSP00000436898.1	5
ENSP00000364277.3	6
ENSP00000399222.1	5
ENSP00000412297.2	5
ENSP00000412526.1	5
ENSP00000400589.1	5
ENSP00000406648.1	5
ENSP00000409066.1	5
ENSP00000297784.5	5
ENSP00000494684.1	5
ENSP00000493698.1	5
ENSP00000341433.3	5
ENSP00000451828.1	5
ENSP00000384293.2	5
ENSP00000270202.4	5
ENSP00000385326.2	5
ENSP00000450688.1	5
ENSP00000451166.1	5
ENSP00000351407.5	5
ENSP00000346372.2	5
ENSP00000423851.1	5
ENSP00000427571.1	5
ENSP00000356224.5	5
ENSP00000356224.5	6
ENSP00000396024.1	5
ENSP00000396024.1	6
ENSP00000356222.4	5
ENSP00000356217.3	5
