record	sig_segments	total_length
ENSGACP00000000002.1	1	5
ENSGACP00000000008.1	1	5
ENSGACP00000000009.1	1	5
ENSGACP00000000040.1	1	5
ENSGACP00000000044.1	1	6
ENSGACP00000000048.1	1	5
ENSGACP00000000052.1	1	5
ENSGACP00000000053.1	1	5
ENSGACP00000000061.1	1	5
ENSGACP00000000084.1	1	7
ENSGACP00000000105.1	1	5
ENSGACP00000000139.1	1	5
ENSGACP00000000144.1	1	5
ENSGACP00000000252.1	1	9
ENSGACP00000000290.1	1	5
ENSGACP00000000314.1	1	5
ENSGACP00000000313.1	1	6
ENSGACP00000000342.1	1	6
ENSGACP00000000362.1	2	10
ENSGACP00000000350.1	1	5
ENSGACP00000000351.1	1	5
ENSGACP00000000348.1	1	6
ENSGACP00000000392.1	1	8
ENSGACP00000000475.1	1	5
ENSGACP00000000579.1	1	5
ENSGACP00000000581.1	1	5
ENSGACP00000000603.1	1	5
ENSGACP00000000608.1	1	5
ENSGACP00000000601.1	1	5
ENSGACP00000000604.1	1	5
ENSGACP00000000643.1	1	6
ENSGACP00000000644.1	1	6
ENSGACP00000000654.1	1	5
ENSGACP00000000656.1	1	5
ENSGACP00000000655.1	1	5
ENSGACP00000000659.1	1	6
ENSGACP00000000679.1	1	6
ENSGACP00000000683.1	1	5
ENSGACP00000000690.1	1	5
ENSGACP00000000692.1	1	5
ENSGACP00000000819.1	1	7
ENSGACP00000000826.1	1	5
ENSGACP00000000834.1	1	5
ENSGACP00000000850.1	1	5
ENSGACP00000000851.1	1	5
ENSGACP00000000909.1	1	5
ENSGACP00000000966.1	1	6
ENSGACP00000001030.1	1	5
ENSGACP00000001073.1	1	6
ENSGACP00000001160.1	1	5
ENSGACP00000001168.1	1	5
ENSGACP00000001210.1	1	8
ENSGACP00000001221.1	1	5
ENSGACP00000001265.1	1	5
ENSGACP00000001286.1	3	15
ENSGACP00000001288.1	1	5
ENSGACP00000001294.1	1	5
ENSGACP00000001311.1	1	8
ENSGACP00000001357.1	1	5
ENSGACP00000001362.1	1	6
ENSGACP00000001408.1	1	6
ENSGACP00000001409.1	1	6
ENSGACP00000001416.1	1	5
ENSGACP00000001422.1	1	10
ENSGACP00000001432.1	1	8
ENSGACP00000001468.1	1	6
ENSGACP00000001469.1	1	7
ENSGACP00000001476.1	1	5
ENSGACP00000001482.1	1	5
ENSGACP00000001486.1	2	10
ENSGACP00000001490.1	2	10
ENSGACP00000001521.1	1	5
ENSGACP00000001524.1	2	10
ENSGACP00000001589.1	1	5
ENSGACP00000001738.1	1	5
ENSGACP00000001744.1	1	5
ENSGACP00000001745.1	1	5
ENSGACP00000001748.1	1	5
ENSGACP00000001788.1	1	6
ENSGACP00000001792.1	1	5
ENSGACP00000001825.1	1	8
ENSGACP00000001846.1	1	5
ENSGACP00000001917.1	1	5
ENSGACP00000001921.1	1	5
ENSGACP00000001928.1	1	5
ENSGACP00000001930.1	1	7
