record	sig_segments	total_length
ENSGMOP00000000042.1	1	5
ENSGMOP00000000041.1	2	11
ENSGMOP00000000045.1	1	6
ENSGMOP00000000076.1	1	5
ENSGMOP00000000116.1	1	6
ENSGMOP00000000133.1	1	5
ENSGMOP00000000220.1	1	5
ENSGMOP00000000227.1	1	5
ENSGMOP00000000242.1	1	5
ENSGMOP00000000246.1	1	5
ENSGMOP00000000252.1	1	9
ENSGMOP00000000294.1	1	6
ENSGMOP00000000301.1	1	6
ENSGMOP00000000265.1	1	5
ENSGMOP00000000271.1	1	5
ENSGMOP00000000291.1	1	7
ENSGMOP00000000303.1	1	5
ENSGMOP00000000332.1	1	6
ENSGMOP00000000341.1	1	6
ENSGMOP00000000328.1	2	10
ENSGMOP00000000403.1	1	5
ENSGMOP00000000410.1	1	6
ENSGMOP00000000539.1	1	6
ENSGMOP00000000560.1	1	7
ENSGMOP00000000734.1	1	5
ENSGMOP00000000552.1	1	9
ENSGMOP00000000624.1	1	5
ENSGMOP00000000640.1	2	10
ENSGMOP00000000664.1	1	7
ENSGMOP00000000693.1	1	8
ENSGMOP00000000744.1	1	5
ENSGMOP00000000745.1	1	6
ENSGMOP00000000754.1	2	15
ENSGMOP00000000763.1	1	7
ENSGMOP00000000768.1	1	11
ENSGMOP00000000746.1	2	11
ENSGMOP00000000781.1	1	5
ENSGMOP00000000823.1	1	5
ENSGMOP00000000855.1	1	5
ENSGMOP00000000830.1	1	10
ENSGMOP00000000853.1	1	5
ENSGMOP00000000833.1	2	15
ENSGMOP00000000913.1	1	5
ENSGMOP00000000981.1	1	5
ENSGMOP00000000986.1	1	5
ENSGMOP00000000867.1	1	5
ENSGMOP00000000891.1	1	7
ENSGMOP00000000996.1	1	5
ENSGMOP00000000984.1	1	6
ENSGMOP00000000952.1	1	7
ENSGMOP00000001017.1	1	5
ENSGMOP00000001025.1	1	6
ENSGMOP00000001046.1	1	5
ENSGMOP00000001070.1	1	10
ENSGMOP00000001079.1	1	5
ENSGMOP00000001091.1	1	6
ENSGMOP00000001062.1	1	7
ENSGMOP00000001075.1	1	5
ENSGMOP00000001067.1	1	5
ENSGMOP00000001125.1	1	5
ENSGMOP00000001114.1	1	5
ENSGMOP00000001106.1	1	5
ENSGMOP00000001147.1	1	11
ENSGMOP00000001305.1	1	5
ENSGMOP00000001206.1	1	7
ENSGMOP00000001153.1	1	5
ENSGMOP00000001235.1	2	12
ENSGMOP00000001262.1	1	5
ENSGMOP00000001270.1	1	5
ENSGMOP00000001273.1	4	27
ENSGMOP00000001338.1	1	13
ENSGMOP00000001281.1	1	6
ENSGMOP00000001344.1	1	8
ENSGMOP00000001369.1	1	5
ENSGMOP00000001404.1	1	5
ENSGMOP00000001446.1	1	5
ENSGMOP00000001453.1	2	15
ENSGMOP00000001528.1	1	6
ENSGMOP00000001571.1	1	7
ENSGMOP00000001564.1	1	5
ENSGMOP00000001567.1	1	5
ENSGMOP00000001566.1	1	8
ENSGMOP00000001588.1	1	5
ENSGMOP00000001561.1	1	5
ENSGMOP00000001611.1	1	6
ENSGMOP00000001660.1	1	7
ENSGMOP00000001609.1	1	6
ENSGMOP00000001652.1	1	7
ENSGMOP00000001674.1	1	8
ENSGMOP00000001688.1	1	5
ENSGMOP00000001697.1	1	5
ENSGMOP00000001737.1	2	12
ENSGMOP00000001809.1	1	5
ENSGMOP00000001823.1	1	5
ENSGMOP00000001833.1	1	5
ENSGMOP00000001850.1	1	5
ENSGMOP00000001785.1	1	7
ENSGMOP00000001792.1	1	5
ENSGMOP00000001936.1	1	5
ENSGMOP00000001862.1	1	5
ENSGMOP00000001847.1	2	10
ENSGMOP00000001898.1	1	5
ENSGMOP00000001902.1	2	10
ENSGMOP00000001912.1	1	5
ENSGMOP00000001993.1	1	5
ENSGMOP00000001917.1	1	5
ENSGMOP00000001971.1	1	6
ENSGMOP00000001946.1	1	5
ENSGMOP00000001935.1	1	5
ENSGMOP00000001994.1	1	5
ENSGMOP00000001977.1	1	5
ENSGMOP00000001992.1	1	8
ENSGMOP00000002011.1	1	5
ENSGMOP00000002027.1	1	5
ENSGMOP00000002025.1	1	5
ENSGMOP00000002036.1	1	6
ENSGMOP00000002067.1	1	6
ENSGMOP00000002074.1	1	5
ENSGMOP00000002056.1	1	5
ENSGMOP00000002090.1	1	6
ENSGMOP00000002057.1	1	6
ENSGMOP00000002099.1	1	5
ENSGMOP00000002101.1	1	6
ENSGMOP00000002131.1	2	11
ENSGMOP00000002146.1	1	5
ENSGMOP00000002246.1	3	19
ENSGMOP00000002198.1	2	15
ENSGMOP00000002184.1	1	5
ENSGMOP00000002247.1	1	5
ENSGMOP00000002239.1	1	5
ENSGMOP00000002321.1	1	7
ENSGMOP00000002292.1	2	10
ENSGMOP00000002367.1	1	5
ENSGMOP00000002309.1	1	5
ENSGMOP00000002374.1	1	5
ENSGMOP00000002362.1	2	12
ENSGMOP00000002355.1	1	5
ENSGMOP00000002444.1	1	5
ENSGMOP00000002475.1	1	5
ENSGMOP00000002432.1	1	5
ENSGMOP00000002455.1	1	5
ENSGMOP00000002390.1	1	5
ENSGMOP00000002412.1	1	6
