record	sig_segments	total_length
XM_010765770.1	1	10
XM_010765832.1	1	18
XM_010765904.1	1	12
XM_010765980.1	1	16
XM_010765981.1	1	16
XM_010766004.1	1	14
XM_010766005.1	1	14
XM_010766062.1	1	25
XM_010766072.1	1	10
XM_010766073.1	1	12
XM_010766074.1	1	19
XM_010766075.1	1	12
XM_010766148.1	1	10
XM_010766149.1	1	10
XM_010766150.1	1	10
XM_010766154.1	1	13
XM_010766348.1	1	13
XM_010766366.1	1	10
XM_010766569.1	2	29
XM_010766703.1	1	11
XM_010766716.1	1	12
XM_010766837.1	1	10
XM_010767068.1	1	12
XM_010767094.1	1	14
XM_010767097.1	1	11
XM_010767120.1	1	10
XM_010767174.1	1	10
XM_010767248.1	2	27
XM_010767396.1	1	11
XM_010767421.1	1	10
XM_010767588.1	1	12
XM_010767592.1	1	24
XM_010767784.1	1	12
XM_010767785.1	1	12
XM_010767786.1	1	12
XM_010767989.1	1	14
XM_010767991.1	1	14
XM_010767992.1	1	14
XM_010767993.1	1	14
XM_010768190.1	1	11
XM_010768297.1	1	10
XM_010768305.1	1	16
XM_010768306.1	1	16
XM_010768307.1	1	16
XM_010768308.1	1	16
XM_010768309.1	1	16
XM_010768372.1	1	12
XM_010768436.1	1	10
XM_010768453.1	1	12
XM_010768460.1	1	12
XM_010768484.1	1	11
XM_010768485.1	1	11
XM_010768486.1	1	11
XM_010768487.1	1	11
XM_010768646.1	1	19
XM_010768713.1	1	12
XM_010768714.1	1	12
XM_010768846.1	1	10
XM_010768847.1	1	10
XM_010768848.1	1	10
XM_010768849.1	1	10
XM_010768895.1	1	10
XM_010768954.1	1	12
XM_010769118.1	1	10
XM_010769134.1	1	11
XM_010769207.1	1	13
XM_010769229.1	1	10
XM_010769710.1	1	15
XM_010769728.1	3	53
XM_010769770.1	1	10
XM_010769830.1	1	11
XM_010769898.1	1	12
XM_010769973.1	1	16
XM_010770005.1	1	21
XM_010770053.1	1	17
XM_010770163.1	1	14
XM_010770553.1	1	10
XM_010770601.1	1	12
XM_010770651.1	1	17
XM_010770693.1	1	11
XM_010770695.1	1	17
XM_010770770.1	1	16
XM_010770772.1	1	11
XM_010770786.1	1	10
XM_010770830.1	1	43
XM_010770837.1	1	43
XM_010770886.1	1	12
XM_010770896.1	2	23
XM_010770902.1	2	23
XM_010770998.1	2	22
XM_010771021.1	1	17
XM_010771042.1	1	17
XM_010771101.1	1	10
XM_010771141.1	1	12
XM_010771142.1	1	12
XM_010771203.1	1	10
XM_010771208.1	1	10
XM_010771524.1	2	29
XM_010771583.1	1	13
XM_010771598.1	1	10
XM_010771599.1	1	10
XM_010771606.1	1	17
XM_010771728.1	1	13
XM_010771786.1	1	11
XM_010771793.1	1	10
XM_010771801.1	1	11
XM_010772037.1	1	16
XM_010772122.1	2	22
XM_010772123.1	2	22
XM_010772124.1	2	22
XM_010772125.1	2	22
XM_010772126.1	2	22
XM_010772128.1	1	23
XM_010772129.1	1	23
XM_010772183.1	1	10
XM_010772383.1	1	18
XM_010772391.1	1	18
XM_010772400.1	1	18
XM_010772499.1	1	10
XM_010772504.1	1	11
XM_010772522.1	1	11
XM_010772548.1	1	15
XM_010772549.1	1	15
XM_010772551.1	1	14
XM_010772653.1	1	10
XM_010772675.1	1	13
XM_010772701.1	1	10
XM_010772864.1	1	13
XM_010772865.1	1	13
XM_010772950.1	1	17
XM_010772955.1	1	10
XM_010773064.1	1	10
XM_010773065.1	1	10
XM_010773105.1	1	10
XM_010773129.1	1	35
XM_010773131.1	1	35
XM_010773132.1	1	35
XM_010773212.1	1	10
XM_010773245.1	1	32
XM_010773262.1	1	37
XM_010773425.1	1	15
XM_010773428.1	1	11
XM_010773635.1	1	10
XM_010773728.1	1	12
XM_010773736.1	1	12
XM_010773823.1	2	25
XM_010773832.1	1	11
XM_010773833.1	1	11
XM_010773834.1	1	11
XM_010773861.1	1	24
XM_010773869.1	1	24
XM_010773872.1	1	16
XM_010773877.1	1	24
XM_010773885.1	1	24
XM_010773893.1	1	24
XM_010773898.1	1	24
XM_010773906.1	1	24
XM_010773936.1	1	15
XM_010774084.1	1	21
XM_010774228.1	1	18
XM_010774295.1	4	57
XM_010774307.1	1	15
XM_010774320.1	2	27
XM_010774321.1	2	27
XM_010774328.1	1	28
XM_010774377.1	1	10
XM_010774378.1	1	10
XM_010774407.1	1	15
XM_010774523.1	1	13
XM_010774565.1	1	13
XM_010774566.1	1	13
XM_010774567.1	1	13
XM_010774650.1	1	11
XM_010774658.1	1	11
XM_010774866.1	1	13
XM_010774867.1	1	13
XM_010774868.1	1	13
XM_010774870.1	1	13
XM_010774871.1	1	13
XM_010774969.1	1	18
XM_010774972.1	1	45
XM_010774986.1	1	13
XM_010775056.1	1	10
XM_010775080.1	1	26
XM_010775081.1	1	26
XM_010775082.1	1	26
XM_010775406.1	1	21
XM_010775420.1	1	12
XM_010775421.1	1	12
XM_010775591.1	1	16
XM_010775790.1	1	19
XM_010775801.1	1	23
XM_010775818.1	1	10
XM_010775921.1	1	16
XM_010775985.1	1	10
XM_010776018.1	1	29
XM_010776152.1	1	14
XM_010776357.1	1	22
XM_010776504.1	1	13
XM_010776646.1	1	12
XM_010776719.1	1	14
XM_010776721.1	1	13
XM_010776768.1	2	27
XM_010776773.1	1	10
XM_010776791.1	1	17
XM_010776846.1	1	13
XM_010776847.1	1	13
XM_010776848.1	1	13
XM_010776869.1	1	18
XM_010776892.1	1	20
XM_010776969.1	1	10
XM_010777002.1	1	14
XM_010777015.1	1	17
XM_010777072.1	1	11
XM_010777090.1	1	20
XM_010777215.1	3	31
XM_010777217.1	1	40
XM_010777218.1	1	15
XM_010777382.1	1	10
XM_010777417.1	1	11
XM_010777425.1	1	12
XM_010777553.1	1	10
XM_010777555.1	1	12
XM_010777910.1	1	11
XM_010777918.1	1	11
XM_010778021.1	1	12
XM_010778036.1	1	10
XM_010778037.1	1	10
XM_010778038.1	1	10
XM_010778138.1	1	10
XM_010778144.1	1	10
XM_010778157.1	1	22
XM_010778159.1	1	13
XM_010778322.1	1	18
XM_010778323.1	1	18
XM_010778324.1	1	18
XM_010778352.1	1	10
XM_010778399.1	1	13
XM_010778453.1	1	19
XM_010778545.1	1	10
XM_010778596.1	1	11
XM_010778650.1	1	12
XM_010778776.1	1	13
XM_010778927.1	1	18
XM_010779165.1	1	26
XM_010779201.1	1	11
XM_010779213.1	1	11
XM_010779283.1	3	68
XM_010779314.1	1	12
XM_010779335.1	1	13
XM_010779336.1	1	13
XM_010779351.1	2	34
XM_010779458.1	1	15
XM_010779480.1	1	10
XM_010779544.1	1	13
XM_010779586.1	1	10
XM_010779596.1	1	10
XM_010779597.1	1	10
XM_010779614.1	1	12
XM_010779619.1	1	13
XM_010779634.1	1	13
XM_010779784.1	1	10
XM_010779801.1	1	10
XM_010779811.1	1	12
XM_010779857.1	1	12
XM_010779932.1	1	12
XM_010779957.1	1	13
XM_010780041.1	1	21
XM_010780115.1	1	11
XM_010780121.1	1	12
XM_010780135.1	1	12
XM_010780181.1	1	14
XM_010780202.1	1	10
XM_010780268.1	1	16
XM_010780317.1	1	10
XM_010780519.1	1	13
XM_010780520.1	1	13
XM_010780527.1	1	15
XM_010780543.1	1	10
XM_010780552.1	1	10
XM_010780560.1	1	10
XM_010780597.1	2	24
XM_010780794.1	2	38
XM_010780829.1	1	11
XM_010780830.1	1	11
XM_010780865.1	1	11
XM_010780888.1	1	13
XM_010780889.1	1	13
XM_010780992.1	1	17
XM_010781040.1	1	12
XM_010781075.1	13	138
XM_010781077.1	1	12
XM_010781128.1	1	10
XM_010781129.1	1	10
XM_010781130.1	1	10
