record	segment_length
XM_010765770.1	10
XM_010765832.1	18
XM_010765904.1	12
XM_010765980.1	16
XM_010765981.1	16
XM_010766004.1	14
XM_010766005.1	14
XM_010766062.1	25
XM_010766072.1	10
XM_010766073.1	12
XM_010766074.1	19
XM_010766075.1	12
XM_010766148.1	10
XM_010766149.1	10
XM_010766150.1	10
XM_010766154.1	13
XM_010766348.1	13
XM_010766366.1	10
XM_010766569.1	19
XM_010766569.1	10
XM_010766703.1	11
XM_010766716.1	12
XM_010766837.1	10
XM_010767068.1	12
XM_010767094.1	14
XM_010767097.1	11
XM_010767120.1	10
XM_010767174.1	10
XM_010767248.1	11
XM_010767248.1	16
XM_010767396.1	11
XM_010767421.1	10
XM_010767588.1	12
XM_010767592.1	24
XM_010767784.1	12
XM_010767785.1	12
XM_010767786.1	12
XM_010767989.1	14
XM_010767991.1	14
XM_010767992.1	14
XM_010767993.1	14
XM_010768190.1	11
XM_010768297.1	10
XM_010768305.1	16
XM_010768306.1	16
XM_010768307.1	16
XM_010768308.1	16
XM_010768309.1	16
XM_010768372.1	12
XM_010768436.1	10
XM_010768453.1	12
XM_010768460.1	12
XM_010768484.1	11
XM_010768485.1	11
XM_010768486.1	11
XM_010768487.1	11
XM_010768646.1	19
XM_010768713.1	12
XM_010768714.1	12
XM_010768846.1	10
XM_010768847.1	10
XM_010768848.1	10
XM_010768849.1	10
XM_010768895.1	10
XM_010768954.1	12
XM_010769118.1	10
XM_010769134.1	11
XM_010769207.1	13
XM_010769229.1	10
XM_010769710.1	15
XM_010769728.1	10
XM_010769728.1	31
XM_010769728.1	12
XM_010769770.1	10
XM_010769830.1	11
XM_010769898.1	12
XM_010769973.1	16
XM_010770005.1	21
XM_010770053.1	17
XM_010770163.1	14
XM_010770553.1	10
XM_010770601.1	12
XM_010770651.1	17
XM_010770693.1	11
XM_010770695.1	17
XM_010770770.1	16
XM_010770772.1	11
XM_010770786.1	10
XM_010770830.1	43
XM_010770837.1	43
XM_010770886.1	12
XM_010770896.1	13
XM_010770896.1	10
XM_010770902.1	13
XM_010770902.1	10
XM_010770998.1	11
XM_010770998.1	11
XM_010771021.1	17
XM_010771042.1	17
XM_010771101.1	10
XM_010771141.1	12
XM_010771142.1	12
XM_010771203.1	10
XM_010771208.1	10
XM_010771524.1	11
XM_010771524.1	18
XM_010771583.1	13
XM_010771598.1	10
XM_010771599.1	10
XM_010771606.1	17
XM_010771728.1	13
XM_010771786.1	11
XM_010771793.1	10
XM_010771801.1	11
XM_010772037.1	16
XM_010772122.1	12
XM_010772122.1	10
XM_010772123.1	12
XM_010772123.1	10
XM_010772124.1	12
XM_010772124.1	10
XM_010772125.1	12
XM_010772125.1	10
XM_010772126.1	12
XM_010772126.1	10
XM_010772128.1	23
XM_010772129.1	23
XM_010772183.1	10
XM_010772383.1	18
XM_010772391.1	18
XM_010772400.1	18
XM_010772499.1	10
XM_010772504.1	11
XM_010772522.1	11
XM_010772548.1	15
XM_010772549.1	15
XM_010772551.1	14
XM_010772653.1	10
XM_010772675.1	13
XM_010772701.1	10
XM_010772864.1	13
XM_010772865.1	13
XM_010772950.1	17
XM_010772955.1	10
XM_010773064.1	10
XM_010773065.1	10
XM_010773105.1	10
XM_010773129.1	35
XM_010773131.1	35
XM_010773132.1	35
XM_010773212.1	10
XM_010773245.1	32
XM_010773262.1	37
XM_010773425.1	15
XM_010773428.1	11
XM_010773635.1	10
XM_010773728.1	12
XM_010773736.1	12
XM_010773823.1	10
XM_010773823.1	15
XM_010773832.1	11
XM_010773833.1	11
XM_010773834.1	11
XM_010773861.1	24
XM_010773869.1	24
XM_010773872.1	16
XM_010773877.1	24
XM_010773885.1	24
XM_010773893.1	24
XM_010773898.1	24
XM_010773906.1	24
XM_010773936.1	15
XM_010774084.1	21
XM_010774228.1	18
XM_010774295.1	21
XM_010774295.1	12
XM_010774295.1	13
XM_010774295.1	11
XM_010774307.1	15
XM_010774320.1	16
XM_010774320.1	11
XM_010774321.1	16
XM_010774321.1	11
XM_010774328.1	28
XM_010774377.1	10
XM_010774378.1	10
XM_010774407.1	15
XM_010774523.1	13
XM_010774565.1	13
XM_010774566.1	13
XM_010774567.1	13
XM_010774650.1	11
XM_010774658.1	11
XM_010774866.1	13
XM_010774867.1	13
XM_010774868.1	13
XM_010774870.1	13
XM_010774871.1	13
XM_010774969.1	18
XM_010774972.1	45
XM_010774986.1	13
XM_010775056.1	10
XM_010775080.1	26
XM_010775081.1	26
XM_010775082.1	26
XM_010775406.1	21
XM_010775420.1	12
XM_010775421.1	12
XM_010775591.1	16
XM_010775790.1	19
XM_010775801.1	23
XM_010775818.1	10
XM_010775921.1	16
XM_010775985.1	10
XM_010776018.1	29
XM_010776152.1	14
XM_010776357.1	22
XM_010776504.1	13
XM_010776646.1	12
XM_010776719.1	14
XM_010776721.1	13
XM_010776768.1	12
XM_010776768.1	15
XM_010776773.1	10
XM_010776791.1	17
XM_010776846.1	13
XM_010776847.1	13
XM_010776848.1	13
XM_010776869.1	18
XM_010776892.1	20
XM_010776969.1	10
XM_010777002.1	14
XM_010777015.1	17
XM_010777072.1	11
XM_010777090.1	20
XM_010777215.1	10
XM_010777215.1	10
XM_010777215.1	11
XM_010777217.1	40
XM_010777218.1	15
XM_010777382.1	10
XM_010777417.1	11
XM_010777425.1	12
XM_010777553.1	10
XM_010777555.1	12
XM_010777910.1	11
XM_010777918.1	11
XM_010778021.1	12
XM_010778036.1	10
XM_010778037.1	10
XM_010778038.1	10
XM_010778138.1	10
XM_010778144.1	10
XM_010778157.1	22
XM_010778159.1	13
XM_010778322.1	18
XM_010778323.1	18
XM_010778324.1	18
XM_010778352.1	10
XM_010778399.1	13
XM_010778453.1	19
XM_010778545.1	10
XM_010778596.1	11
XM_010778650.1	12
XM_010778776.1	13
XM_010778927.1	18
XM_010779165.1	26
XM_010779201.1	11
XM_010779213.1	11
XM_010779283.1	11
XM_010779283.1	16
XM_010779283.1	41
XM_010779314.1	12
XM_010779335.1	13
XM_010779336.1	13
XM_010779351.1	20
XM_010779351.1	14
XM_010779458.1	15
XM_010779480.1	10
XM_010779544.1	13
XM_010779586.1	10
XM_010779596.1	10
XM_010779597.1	10
XM_010779614.1	12
XM_010779619.1	13
XM_010779634.1	13
XM_010779784.1	10
XM_010779801.1	10
XM_010779811.1	12
XM_010779857.1	12
XM_010779932.1	12
XM_010779957.1	13
XM_010780041.1	21
XM_010780115.1	11
XM_010780121.1	12
XM_010780135.1	12
XM_010780181.1	14
XM_010780202.1	10
XM_010780268.1	16
XM_010780317.1	10
XM_010780519.1	13
XM_010780520.1	13
XM_010780527.1	15
XM_010780543.1	10
XM_010780552.1	10
XM_010780560.1	10
XM_010780597.1	12
XM_010780597.1	12
XM_010780794.1	25
XM_010780794.1	13
XM_010780829.1	11
XM_010780830.1	11
XM_010780865.1	11
XM_010780888.1	13
XM_010780889.1	13
XM_010780992.1	17
XM_010781040.1	12
XM_010781075.1	11
XM_010781075.1	11
XM_010781075.1	11
XM_010781075.1	11
XM_010781075.1	11
XM_010781075.1	11
XM_010781075.1	10
XM_010781075.1	10
XM_010781075.1	11
XM_010781075.1	10
XM_010781075.1	11
XM_010781075.1	10
XM_010781075.1	10
XM_010781077.1	12
XM_010781128.1	10
XM_010781129.1	10
XM_010781130.1	10
XM_010781177.1	11
XM_010781178.1	11
XM_010781179.1	11
XM_010781180.1	11
XM_010781181.1	11
XM_010781182.1	11
XM_010781183.1	11
XM_010781283.1	12
XM_010781384.1	13
XM_010781393.1	13
XM_010781406.1	10
XM_010781407.1	10
XM_010781420.1	12
XM_010781592.1	11
XM_010781605.1	10
XM_010781605.1	16
XM_010781702.1	12
XM_010781704.1	10
XM_010781706.1	12
XM_010781885.1	12
XM_010781894.1	10
XM_010781894.1	24
XM_010781894.1	11
XM_010781894.1	18
XM_010781894.1	13
XM_010781895.1	11
XM_010782034.1	10
XM_010782090.1	11
XM_010782095.1	18
XM_010782102.1	11
XM_010782103.1	11
XM_010782186.1	14
XM_010782343.1	13
XM_010782352.1	15
XM_010782537.1	11
XM_010782623.1	13
XM_010782624.1	13
XM_010782625.1	13
XM_010782765.1	11
XM_010782794.1	13
XM_010782798.1	10
XM_010782907.1	11
XM_010782909.1	11
XM_010782910.1	11
XM_010782911.1	11
XM_010782979.1	10
XM_010783059.1	14
XM_010783068.1	12
XM_010783106.1	10
XM_010783322.1	11
XM_010783352.1	11
XM_010783452.1	14
XM_010783453.1	14
XM_010783454.1	14
XM_010783554.1	13
XM_010783554.1	15
XM_010783636.1	11
XM_010783636.1	16
XM_010783637.1	11
XM_010783637.1	16
XM_010783692.1	10
XM_010783730.1	11
XM_010783936.1	10
XM_010783958.1	10
XM_010783984.1	11
XM_010783986.1	11
XM_010783987.1	11
XM_010783988.1	11
XM_010784019.1	19
XM_010784020.1	19
XM_010784040.1	18
XM_010784051.1	45
XM_010784051.1	11
XM_010784111.1	10
XM_010784148.1	11
XM_010784149.1	11
XM_010784174.1	18
XM_010784175.1	18
XM_010784192.1	18
XM_010784225.1	10
XM_010784227.1	10
XM_010784228.1	10
XM_010784281.1	10
XM_010784386.1	10
XM_010784401.1	26
XM_010784403.1	26
XM_010784404.1	26
XM_010784405.1	26
XM_010784406.1	11
XM_010784407.1	11
XM_010784408.1	11
XM_010784518.1	22
XM_010784518.1	10
XM_010784518.1	10
XM_010784518.1	12
XM_010784676.1	11
XM_010784677.1	10
XM_010784678.1	11
XM_010784679.1	11
XM_010784680.1	11
XM_010784681.1	11
XM_010784682.1	11
XM_010784683.1	11
XM_010784684.1	11
XM_010784685.1	11
XM_010784686.1	10
XM_010784687.1	11
XM_010784688.1	11
XM_010784689.1	11
XM_010784690.1	11
XM_010784692.1	10
XM_010784693.1	11
XM_010784722.1	16
XM_010784818.1	10
XM_010784919.1	16
XM_010784920.1	16
XM_010784921.1	16
XM_010784956.1	11
XM_010784981.1	16
XM_010784981.1	12
XM_010784991.1	12
XM_010785009.1	23
XM_010785010.1	23
XM_010785011.1	23
XM_010785055.1	11
XM_010785097.1	13
XM_010785188.1	11
XM_010785224.1	17
XM_010785331.1	10
XM_010785369.1	22
XM_010785515.1	10
XM_010785526.1	16
XM_010785607.1	12
XM_010785633.1	10
XM_010785741.1	10
XM_010785742.1	10
XM_010785743.1	10
XM_010785812.1	11
XM_010785952.1	21
XM_010785952.1	42
XM_010785963.1	20
XM_010786168.1	14
XM_010786178.1	10
XM_010786179.1	10
XM_010786240.1	10
XM_010786349.1	10
XM_010786437.1	18
XM_010786438.1	18
XM_010786439.1	18
XM_010786479.1	18
XM_010786479.1	10
XM_010786514.1	11
XM_010786571.1	11
XM_010786573.1	10
XM_010786602.1	12
XM_010786604.1	13
XM_010786605.1	13
XM_010786607.1	10
XM_010786607.1	15
XM_010786610.1	12
XM_010786656.1	18
XM_010786664.1	18
XM_010786673.1	18
XM_010786683.1	18
XM_010786689.1	18
XM_010786780.1	13
XM_010786781.1	13
XM_010786829.1	12
XM_010787207.1	10
XM_010787207.1	11
XM_010787207.1	26
XM_010787207.1	27
XM_010787228.1	10
XM_010787289.1	10
XM_010787290.1	10
XM_010787345.1	10
XM_010787359.1	11
XM_010787563.1	14
XM_010787611.1	13
