record	segment_length
XP_010764072.1	10
XP_010764134.1	18
XP_010764282.1	16
XP_010764283.1	16
XP_010764306.1	14
XP_010764307.1	14
XP_010764374.1	10
XP_010764650.1	13
XP_010764668.1	10
XP_010764871.1	19
XP_010764871.1	10
XP_010765018.1	12
XP_010765139.1	10
XP_010765370.1	12
XP_010765399.1	11
XP_010765476.1	10
XP_010765550.1	11
XP_010765550.1	16
XP_010765698.1	11
XP_010765723.1	10
XP_010765890.1	12
XP_010765894.1	24
XP_010766086.1	12
XP_010766087.1	12
XP_010766088.1	12
XP_010766291.1	14
XP_010766293.1	14
XP_010766294.1	14
XP_010766295.1	14
XP_010766492.1	11
XP_010766607.1	16
XP_010766608.1	16
XP_010766609.1	16
XP_010766610.1	16
XP_010766611.1	16
XP_010766738.1	10
XP_010766755.1	12
XP_010766762.1	12
XP_010766948.1	19
XP_010767148.1	10
XP_010767149.1	10
XP_010767150.1	10
XP_010767151.1	10
XP_010767256.1	12
XP_010767436.1	11
XP_010767509.1	13
XP_010767531.1	10
XP_010768012.1	15
XP_010768030.1	10
XP_010768030.1	31
XP_010768030.1	12
XP_010768072.1	10
XP_010768132.1	11
XP_010768200.1	12
XP_010768307.1	21
XP_010768355.1	17
XP_010768465.1	14
XP_010768903.1	12
XP_010768953.1	17
XP_010769074.1	11
XP_010769132.1	43
XP_010769139.1	43
XP_010769188.1	12
XP_010769198.1	13
XP_010769198.1	10
XP_010769204.1	13
XP_010769204.1	10
XP_010769443.1	12
XP_010769444.1	12
XP_010769505.1	10
XP_010769826.1	11
XP_010769826.1	18
XP_010769885.1	13
XP_010769900.1	10
XP_010769901.1	10
XP_010769908.1	17
XP_010770030.1	13
XP_010770095.1	10
XP_010770103.1	11
XP_010770339.1	16
XP_010770424.1	12
XP_010770424.1	10
XP_010770425.1	12
XP_010770425.1	10
XP_010770426.1	12
XP_010770426.1	10
XP_010770427.1	12
XP_010770427.1	10
XP_010770428.1	12
XP_010770428.1	10
XP_010770430.1	23
XP_010770431.1	23
XP_010770806.1	11
XP_010770824.1	11
XP_010770853.1	14
XP_010770977.1	13
XP_010771257.1	10
XP_010771366.1	10
XP_010771367.1	10
XP_010771407.1	10
XP_010771514.1	10
XP_010771547.1	32
XP_010771564.1	37
XP_010771727.1	15
XP_010771730.1	11
XP_010772125.1	10
XP_010772125.1	15
XP_010772134.1	11
XP_010772135.1	11
XP_010772136.1	11
XP_010772163.1	24
XP_010772171.1	24
XP_010772179.1	24
XP_010772187.1	24
XP_010772195.1	24
XP_010772200.1	24
XP_010772208.1	24
XP_010772238.1	15
XP_010772386.1	21
XP_010772530.1	18
XP_010772597.1	21
XP_010772597.1	12
XP_010772597.1	13
XP_010772609.1	15
XP_010772622.1	11
XP_010772623.1	11
XP_010772630.1	28
XP_010772679.1	10
XP_010772680.1	10
XP_010772709.1	15
XP_010772867.1	13
XP_010772868.1	13
XP_010772869.1	13
XP_010772952.1	11
XP_010772960.1	11
XP_010773168.1	13
XP_010773169.1	13
XP_010773170.1	13
XP_010773172.1	13
XP_010773173.1	13
XP_010773271.1	18
XP_010773274.1	45
XP_010773288.1	13
XP_010773382.1	26
XP_010773383.1	26
XP_010773384.1	26
XP_010773708.1	21
XP_010773722.1	12
XP_010773723.1	12
XP_010773893.1	16
XP_010774103.1	23
XP_010774320.1	29
XP_010774454.1	14
XP_010774659.1	22
XP_010774806.1	13
XP_010775021.1	14
XP_010775023.1	13
XP_010775070.1	12
XP_010775070.1	15
XP_010775093.1	17
XP_010775148.1	13
XP_010775149.1	13
XP_010775150.1	13
XP_010775171.1	18
XP_010775194.1	20
XP_010775304.1	14
XP_010775374.1	11
XP_010775517.1	10
XP_010775517.1	10
XP_010775519.1	40
XP_010775684.1	10
XP_010775857.1	12
XP_010776220.1	11
XP_010776459.1	22
XP_010776461.1	13
XP_010776624.1	18
XP_010776625.1	18
XP_010776626.1	18
XP_010776654.1	10
XP_010776701.1	13
XP_010776755.1	19
XP_010776847.1	10
XP_010777467.1	26
XP_010777585.1	11
XP_010777585.1	16
XP_010777585.1	41
XP_010777616.1	12
XP_010777637.1	13
XP_010777638.1	13
XP_010777653.1	20
XP_010777653.1	14
XP_010777760.1	15
XP_010777782.1	10
XP_010777898.1	10
XP_010777899.1	10
XP_010777921.1	13
XP_010777936.1	13
XP_010778113.1	12
XP_010778259.1	13
XP_010778417.1	11
XP_010778423.1	12
XP_010778437.1	12
XP_010778483.1	14
XP_010778570.1	16
XP_010778619.1	10
XP_010778821.1	13
XP_010778822.1	13
XP_010778829.1	15
XP_010778899.1	12
XP_010778899.1	12
XP_010779096.1	25
XP_010779096.1	13
XP_010779342.1	12
XP_010779377.1	11
XP_010779377.1	11
XP_010779377.1	11
XP_010779377.1	11
XP_010779377.1	11
XP_010779377.1	11
XP_010779379.1	12
XP_010779430.1	10
XP_010779431.1	10
XP_010779432.1	10
XP_010779479.1	11
XP_010779480.1	11
XP_010779481.1	11
XP_010779482.1	11
XP_010779483.1	11
XP_010779484.1	11
XP_010779485.1	11
XP_010779585.1	12
XP_010779686.1	13
XP_010779695.1	13
XP_010779708.1	10
XP_010779709.1	10
XP_010779907.1	10
XP_010779907.1	16
XP_010780004.1	12
XP_010780006.1	10
XP_010780008.1	12
XP_010780187.1	12
XP_010780196.1	11
XP_010780196.1	18
XP_010780196.1	13
XP_010780197.1	11
XP_010780336.1	10
XP_010780392.1	11
XP_010780397.1	18
XP_010780404.1	11
XP_010780405.1	11
XP_010780645.1	13
XP_010780654.1	15
XP_010780839.1	11
XP_010780925.1	13
XP_010780926.1	13
XP_010780927.1	13
XP_010781067.1	11
XP_010781096.1	13
XP_010781100.1	10
XP_010781281.1	10
XP_010781361.1	14
XP_010781370.1	12
XP_010781408.1	10
XP_010781624.1	11
XP_010781654.1	11
XP_010781754.1	14
XP_010781755.1	14
XP_010781756.1	14
XP_010781856.1	13
XP_010781856.1	15
XP_010781938.1	16
XP_010781939.1	16
XP_010782238.1	10
XP_010782260.1	10
XP_010782342.1	18
XP_010782353.1	45
XP_010782353.1	11
XP_010782450.1	11
XP_010782451.1	11
XP_010782527.1	10
XP_010782529.1	10
XP_010782530.1	10
XP_010782583.1	10
XP_010782703.1	26
XP_010782705.1	26
XP_010782706.1	26
XP_010782707.1	26
XP_010782708.1	11
XP_010782709.1	11
XP_010782710.1	11
XP_010782820.1	22
XP_010782820.1	10
XP_010782820.1	10
XP_010782820.1	12
XP_010783024.1	16
XP_010783221.1	16
XP_010783222.1	16
XP_010783223.1	16
XP_010783258.1	11
XP_010783283.1	16
XP_010783293.1	12
XP_010783311.1	23
XP_010783312.1	23
XP_010783313.1	23
XP_010783633.1	10
XP_010783909.1	12
XP_010783935.1	10
XP_010784043.1	10
XP_010784044.1	10
XP_010784045.1	10
XP_010784254.1	21
XP_010784254.1	42
XP_010784265.1	20
XP_010784470.1	14
XP_010784480.1	10
XP_010784481.1	10
XP_010784651.1	10
XP_010784781.1	18
XP_010784873.1	11
XP_010784906.1	13
XP_010784907.1	13
XP_010784912.1	12
XP_010784958.1	18
XP_010784966.1	18
XP_010784975.1	18
XP_010784985.1	18
XP_010784991.1	18
XP_010785131.1	12
XP_010785509.1	11
XP_010785509.1	26
XP_010785509.1	27
XP_010785591.1	10
XP_010785592.1	10
XP_010785647.1	10
XP_010785661.1	11
XP_010785935.1	11
XP_010786249.1	10
XP_010786315.1	17
XP_010786336.1	10
XP_010786363.1	15
XP_010786574.1	12
XP_010786575.1	12
XP_010786670.1	10
XP_010786671.1	10
XP_010786672.1	10
XP_010786673.1	10
XP_010786680.1	10
XP_010786732.1	11
XP_010786732.1	13
XP_010786733.1	11
XP_010786733.1	13
XP_010786734.1	11
XP_010786734.1	13
XP_010786735.1	11
XP_010786735.1	13
XP_010786812.1	11
XP_010786812.1	20
XP_010786870.1	10
XP_010786870.1	11
XP_010786870.1	11
XP_010786870.1	20
XP_010786870.1	10
XP_010786965.1	15
XP_010787035.1	10
XP_010787125.1	22
XP_010787169.1	10
XP_010787219.1	12
XP_010787867.1	14
XP_010787953.1	13
XP_010788375.1	13
XP_010788452.1	10
XP_010788453.1	10
XP_010788454.1	10
XP_010788455.1	10
XP_010788467.1	17
XP_010788467.1	12
XP_010788492.1	12
XP_010788563.1	13
XP_010788618.1	10
XP_010788619.1	10
XP_010788620.1	10
XP_010788621.1	10
XP_010788623.1	10
XP_010789064.1	14
XP_010789102.1	25
XP_010789103.1	25
XP_010789105.1	25
XP_010789106.1	25
XP_010789107.1	25
XP_010789182.1	10
XP_010789467.1	10
XP_010789467.1	15
XP_010789469.1	10
XP_010789469.1	15
XP_010789572.1	11
XP_010789823.1	29
XP_010789824.1	29
XP_010789825.1	13
XP_010789827.1	13
XP_010789828.1	13
XP_010789829.1	13
XP_010789941.1	12
XP_010790032.1	18
XP_010790399.1	14
XP_010790434.1	10
XP_010790475.1	10
XP_010790588.1	31
XP_010790706.1	10
XP_010790716.1	16
XP_010790826.1	19
XP_010790830.1	11
XP_010790868.1	28
XP_010790893.1	14
XP_010790917.1	14
XP_010790918.1	14
XP_010790919.1	14
XP_010790962.1	27
XP_010791076.1	12
XP_010791077.1	12
XP_010791127.1	13
XP_010791340.1	11
XP_010791341.1	11
XP_010791342.1	11
XP_010791452.1	20
XP_010791453.1	20
XP_010791462.1	10
XP_010791498.1	23
XP_010791541.1	11
XP_010791625.1	20
XP_010791625.1	12
XP_010791738.1	30
