record	segment_length
jgi|Takru4|657639|fgenesh4_kg.C_scaffold_72000001	5
jgi|Takru4|588049|e_gw2.72.269.1	5
jgi|Takru4|711389|fgh5_pm.C_scaffold_72000040	5
jgi|Takru4|711388|fgh5_pm.C_scaffold_72000039	5
jgi|Takru4|588169|e_gw2.72.140.1	5
jgi|Takru4|588046|e_gw2.72.163.1	5
jgi|Takru4|747046|fgh5_pg.C_scaffold_4717000002	5
jgi|Takru4|736038|fgh5_pg.C_scaffold_181000054	7
jgi|Takru4|587849|e_gw2.181.84.1	6
jgi|Takru4|739744|fgh5_pg.C_scaffold_285000014	6
jgi|Takru4|739744|fgh5_pg.C_scaffold_285000014	7
jgi|Takru4|739744|fgh5_pg.C_scaffold_285000014	6
jgi|Takru4|587622|e_gw2.459.13.1	5
jgi|Takru4|744448|fgh5_pg.C_scaffold_2071000001	6
jgi|Takru4|742047|fgh5_pg.C_scaffold_403000013	5
jgi|Takru4|742047|fgh5_pg.C_scaffold_403000013	5
jgi|Takru4|587523|e_gw2.403.33.1	5
jgi|Takru4|178589|gw2.317.31.1	6
jgi|Takru4|178589|gw2.317.31.1	5
jgi|Takru4|740582|fgh5_pg.C_scaffold_317000014	12
jgi|Takru4|740582|fgh5_pg.C_scaffold_317000014	6
jgi|Takru4|191466|gw2.317.69.1	5
jgi|Takru4|148714|gw2.187.41.1	8
jgi|Takru4|587246|e_gw2.187.7.1	5
jgi|Takru4|736260|fgh5_pg.C_scaffold_187000049	5
jgi|Takru4|736255|fgh5_pg.C_scaffold_187000044	8
jgi|Takru4|736255|fgh5_pg.C_scaffold_187000044	14
jgi|Takru4|736255|fgh5_pg.C_scaffold_187000044	12
jgi|Takru4|587218|e_gw2.187.81.1	5
jgi|Takru4|736224|fgh5_pg.C_scaffold_187000013	5
jgi|Takru4|587024|e_gw2.219.72.1	5
jgi|Takru4|587024|e_gw2.219.72.1	7
jgi|Takru4|587024|e_gw2.219.72.1	5
jgi|Takru4|586800|e_gw2.6.385.1	5
jgi|Takru4|719496|fgh5_pg.C_scaffold_6000286	11
jgi|Takru4|751729|estExt_fgenesh5_pg.C_60277	6
jgi|Takru4|586813|e_gw2.6.256.1	6
jgi|Takru4|586813|e_gw2.6.256.1	7
jgi|Takru4|586813|e_gw2.6.256.1	7
jgi|Takru4|586813|e_gw2.6.256.1	6
jgi|Takru4|586813|e_gw2.6.256.1	5
jgi|Takru4|586335|e_gw2.6.299.1	7
jgi|Takru4|586877|e_gw2.6.393.1	5
jgi|Takru4|586816|e_gw2.6.375.1	6
jgi|Takru4|586835|e_gw2.6.363.1	7
jgi|Takru4|586835|e_gw2.6.363.1	9
jgi|Takru4|586833|e_gw2.6.14.1	7
jgi|Takru4|586897|e_gw2.6.99.1	5
jgi|Takru4|708160|fgh5_pm.C_scaffold_6000034	6
jgi|Takru4|586853|e_gw2.6.75.1	6
jgi|Takru4|586853|e_gw2.6.75.1	5
jgi|Takru4|586351|e_gw2.6.591.1	5
jgi|Takru4|586863|e_gw2.6.71.1	6
jgi|Takru4|586863|e_gw2.6.71.1	10
jgi|Takru4|586863|e_gw2.6.71.1	5
jgi|Takru4|586373|e_gw2.6.326.1	10
jgi|Takru4|586258|e_gw2.6.74.1	5
jgi|Takru4|586427|e_gw2.6.6.1	13
jgi|Takru4|586326|e_gw2.6.555.1	5
jgi|Takru4|586247|e_gw2.6.358.1	5
jgi|Takru4|128320|gw2.6.1.1	6
jgi|Takru4|586616|e_gw2.6.454.1	11
jgi|Takru4|735718|fgh5_pg.C_scaffold_174000041	7
jgi|Takru4|586047|e_gw2.379.22.1	6
jgi|Takru4|586047|e_gw2.379.22.1	5
jgi|Takru4|735375|fgh5_pg.C_scaffold_168000012	5
jgi|Takru4|735365|fgh5_pg.C_scaffold_168000002	5
jgi|Takru4|585868|e_gw2.2762.1.1	7
jgi|Takru4|585708|e_gw2.66.10.1	6
jgi|Takru4|585793|e_gw2.66.37.1	5
jgi|Takru4|189641|gw2.66.289.1	5
jgi|Takru4|585649|e_gw2.66.60.1	5
jgi|Takru4|585649|e_gw2.66.60.1	11
jgi|Takru4|585569|e_gw2.66.155.1	11
jgi|Takru4|178366|gw2.66.174.1	5
jgi|Takru4|178366|gw2.66.174.1	6
jgi|Takru4|178366|gw2.66.174.1	6
jgi|Takru4|178366|gw2.66.174.1	11
jgi|Takru4|178366|gw2.66.174.1	7
jgi|Takru4|178366|gw2.66.174.1	7
jgi|Takru4|178366|gw2.66.174.1	7
jgi|Takru4|178366|gw2.66.174.1	6
jgi|Takru4|178366|gw2.66.174.1	5
jgi|Takru4|178366|gw2.66.174.1	5
jgi|Takru4|178366|gw2.66.174.1	6
jgi|Takru4|180157|gw2.66.199.1	5
jgi|Takru4|585427|e_gw2.270.81.1	5
