record	sig_segments	total_length
contig24888	1	11
contig09990	1	13
contig40824	1	12
contig39564	1	13
contig00553	1	10
contig27868	2	37
contig27121	2	25
contig35609	1	11
contig26308	1	11
contig14162	1	12
contig11627	1	10
contig28166	1	11
contig33924	1	13
contig41046	1	10
contig29030	1	10
contig11516	1	13
contig32689	1	12
contig32681	1	11
contig26962	1	10
contig16758	1	12
contig28883	1	14
contig15539	1	26
contig00710	1	10
contig26271	1	13
contig16493	1	11
contig39656	3	34
contig22620	1	11
contig34095	1	13
contig40275	1	12
contig41813	1	12
contig24963	1	11
contig31223	1	10
contig01159	1	10
contig32022	1	10
contig36916	1	10
contig37329	1	12
contig02051	1	10
contig39176	1	11
contig14624	2	20
contig20152	1	11
contig40013	2	23
contig05257	1	13
contig34052	1	13
contig36039	1	10
contig11243	1	15
contig39617	1	10
contig23862	1	18
contig15772	1	12
contig11291	1	12
contig31012	1	11
contig33849	1	12
contig30820	1	10
