record	sig_segments	total_length
XP_010764072.1	1	10
XP_010764134.1	1	18
XP_010764282.1	1	16
XP_010764283.1	1	16
XP_010764306.1	1	14
XP_010764307.1	1	14
XP_010764374.1	1	10
XP_010764650.1	1	13
XP_010764668.1	1	10
XP_010764871.1	2	29
XP_010765018.1	1	12
XP_010765139.1	1	10
XP_010765370.1	1	12
XP_010765399.1	1	11
XP_010765476.1	1	10
XP_010765550.1	2	27
XP_010765698.1	1	11
XP_010765723.1	1	10
XP_010765890.1	1	12
XP_010765894.1	1	24
XP_010766086.1	1	12
XP_010766087.1	1	12
XP_010766088.1	1	12
XP_010766291.1	1	14
XP_010766293.1	1	14
XP_010766294.1	1	14
XP_010766295.1	1	14
XP_010766492.1	1	11
XP_010766607.1	1	16
XP_010766608.1	1	16
XP_010766609.1	1	16
XP_010766610.1	1	16
XP_010766611.1	1	16
XP_010766738.1	1	10
XP_010766755.1	1	12
XP_010766762.1	1	12
XP_010766948.1	1	19
XP_010767148.1	1	10
XP_010767149.1	1	10
XP_010767150.1	1	10
XP_010767151.1	1	10
XP_010767256.1	1	12
XP_010767436.1	1	11
XP_010767509.1	1	13
XP_010767531.1	1	10
XP_010768012.1	1	15
XP_010768030.1	3	53
XP_010768072.1	1	10
XP_010768132.1	1	11
XP_010768200.1	1	12
XP_010768307.1	1	21
XP_010768355.1	1	17
XP_010768465.1	1	14
XP_010768903.1	1	12
XP_010768953.1	1	17
XP_010769074.1	1	11
XP_010769132.1	1	43
XP_010769139.1	1	43
XP_010769188.1	1	12
XP_010769198.1	2	23
XP_010769204.1	2	23
XP_010769443.1	1	12
XP_010769444.1	1	12
XP_010769505.1	1	10
XP_010769826.1	2	29
XP_010769885.1	1	13
XP_010769900.1	1	10
XP_010769901.1	1	10
XP_010769908.1	1	17
XP_010770030.1	1	13
XP_010770095.1	1	10
XP_010770103.1	1	11
XP_010770339.1	1	16
XP_010770424.1	2	22
XP_010770425.1	2	22
XP_010770426.1	2	22
XP_010770427.1	2	22
XP_010770428.1	2	22
XP_010770430.1	1	23
XP_010770431.1	1	23
XP_010770806.1	1	11
XP_010770824.1	1	11
XP_010770853.1	1	14
XP_010770977.1	1	13
XP_010771257.1	1	10
