record	sig_segments	total_length
ENSP00000318195.4	1	10
ENSP00000442053.2	1	12
ENSP00000376344.3	1	12
ENSP00000261741.5	1	12
ENSP00000476504.1	1	23
ENSP00000366843.3	1	23
ENSP00000494663.1	1	23
ENSP00000446512.2	1	23
ENSP00000496279.1	1	23
ENSP00000493897.1	1	23
ENSP00000446576.2	1	23
ENSP00000360555.3	1	12
ENSP00000308315.5	1	12
ENSP00000479233.1	1	12
ENSP00000379212.2	1	12
ENSP00000493724.1	1	10
ENSP00000295900.6	1	10
ENSP00000402395.1	1	11
ENSP00000408233.2	1	11
ENSP00000406707.1	1	11
ENSP00000460876.1	1	14
ENSP00000322579.3	1	14
ENSP00000460738.1	1	14
ENSP00000458953.1	1	14
ENSP00000414607.2	1	14
ENSP00000352463.3	1	10
ENSP00000335561.4	1	10
ENSP00000385531.1	1	10
ENSP00000384018.1	1	17
ENSP00000384202.1	1	17
ENSP00000400281.2	1	17
ENSP00000402808.1	1	17
ENSP00000385618.3	1	17
ENSP00000348551.4	1	17
ENSP00000345359.6	1	11
ENSP00000366513.4	1	11
ENSP00000401934.1	1	11
ENSP00000354997.4	1	11
ENSP00000384048.1	1	12
ENSP00000389849.1	1	12
ENSP00000380376.1	1	12
ENSP00000301463.4	1	11
ENSP00000449452.1	1	11
ENSP00000304108.5	1	14
ENSP00000478477.1	1	14
ENSP00000488624.1	1	17
ENSP00000492911.1	1	17
ENSP00000487744.1	1	17
ENSP00000262932.3	1	14
ENSP00000355562.2	1	11
ENSP00000264183.3	1	11
ENSP00000394663.1	1	11
ENSP00000379078.3	1	24
ENSP00000364678.4	1	24
ENSP00000364680.4	1	24
ENSP00000364687.4	1	24
ENSP00000340702.3	1	10
ENSP00000483516.1	1	10
ENSP00000382886.3	1	24
ENSP00000382888.3	1	24
ENSP00000372863.2	1	24
ENSP00000372864.4	1	24
ENSP00000346420.2	2	29
ENSP00000457593.1	2	29
ENSP00000486610.1	2	29
ENSP00000377343.2	2	29
ENSP00000455628.1	2	29
ENSP00000338806.2	2	29
ENSP00000352172.5	1	12
ENSP00000394108.2	1	13
ENSP00000404623.1	1	13
ENSP00000484830.1	1	13
ENSP00000327617.4	1	17
ENSP00000387100.4	1	17
ENSP00000395491.1	1	11
ENSP00000410446.2	1	11
ENSP00000391879.1	1	11
ENSP00000382281.3	1	13
ENSP00000372681.4	1	13
ENSP00000480448.1	1	13
ENSP00000478810.1	1	13
ENSP00000411327.2	1	11
ENSP00000391102.2	1	11
ENSP00000406756.1	1	12
ENSP00000397199.2	1	11
ENSP00000353638.4	1	11
ENSP00000377855.3	1	11
ENSP00000312649.5	1	11
ENSP00000384403.1	1	11
ENSP00000409364.1	1	11
ENSP00000473593.1	1	15
ENSP00000266671.5	1	15
ENSP00000480767.1	1	15
ENSP00000409182.1	1	11
ENSP00000392805.2	1	11
ENSP00000390258.1	1	11
ENSP00000399135.2	1	24
ENSP00000413358.1	1	24
ENSP00000486948.1	1	24
ENSP00000486997.1	1	24
ENSP00000271332.3	1	10
ENSP00000238647.3	1	25
ENSP00000354597.4	1	18
ENSP00000357635.2	1	18
ENSP00000447488.1	1	10
ENSP00000489073.1	2	52
ENSP00000489135.1	2	51
ENSP00000488944.1	2	52
ENSP00000377132.2	2	51
ENSP00000386200.3	2	51
ENSP00000265436.7	2	51
ENSP00000377135.2	2	51
ENSP00000377133.3	1	11
ENSP00000367482.3	2	51
ENSP00000377129.3	2	51
ENSP00000489229.1	2	50
ENSP00000353367.4	2	51
ENSP00000409826.2	1	40
ENSP00000375084.3	2	51
ENSP00000488954.1	1	40
ENSP00000385069.4	2	51
ENSP00000377130.3	2	51
ENSP00000492698.1	2	53
ENSP00000465489.1	1	13
ENSP00000466134.1	1	13
ENSP00000466012.1	1	13
ENSP00000465461.1	1	13
ENSP00000339245.4	1	20
ENSP00000347888.3	1	20
ENSP00000463982.1	1	20
ENSP00000359428.2	2	21
ENSP00000414517.2	2	21
ENSP00000397438.2	2	21
ENSP00000262858.5	2	21
ENSP00000244769.3	2	27
ENSP00000416360.1	2	27
ENSP00000232974.6	2	23
ENSP00000414036.1	1	10
ENSP00000356286.5	1	10
ENSP00000266744.3	1	12
ENSP00000417583.1	1	12
ENSP00000436263.1	1	12
ENSP00000257915.5	1	11
ENSP00000449742.1	1	11
ENSP00000447991.1	1	11
ENSP00000449280.1	1	11
ENSP00000418838.2	1	12
ENSP00000417708.1	1	12
ENSP00000367956.4	1	12
ENSP00000419515.1	1	12
ENSP00000418042.1	1	12
ENSP00000420509.1	1	12
ENSP00000297788.4	1	12
ENSP00000463048.2	2	26
ENSP00000464036.2	2	26
ENSP00000464016.2	2	26
ENSP00000485937.1	2	26
ENSP00000485705.1	2	26
ENSP00000485849.1	2	26
ENSP00000290585.4	1	15
ENSP00000290583.4	1	15
ENSP00000402503.1	1	15
ENSP00000408794.1	1	11
ENSP00000292733.7	2	27
ENSP00000263205.7	2	27
ENSP00000384344.1	2	27
ENSP00000372434.2	2	27
ENSP00000415778.1	1	11
ENSP00000413603.1	1	11
ENSP00000396461.1	1	11
ENSP00000408875.1	1	11
ENSP00000390098.2	1	10
ENSP00000398125.1	1	10
ENSP00000251102.8	1	15
ENSP00000454633.1	1	15
ENSP00000451235.1	1	14
ENSP00000396673.2	1	10
ENSP00000349365.1	1	13
ENSP00000268489.5	2	34
ENSP00000438926.3	1	19
ENSP00000493252.1	2	34
ENSP00000266000.6	1	13
ENSP00000363668.5	1	13
ENSP00000396876.2	1	13
ENSP00000482399.1	1	13
ENSP00000382014.3	1	13
ENSP00000372539.4	1	13
ENSP00000477633.1	1	13
ENSP00000483394.1	1	13
ENSP00000440674.1	1	15
ENSP00000399194.2	1	15
ENSP00000437659.1	1	15
ENSP00000443676.1	1	15
ENSP00000323837.6	1	11
ENSP00000483501.1	1	11
ENSP00000479964.1	1	11
ENSP00000421180.1	2	43
ENSP00000381913.1	2	32
ENSP00000491685.1	1	11
ENSP00000393151.2	1	11
ENSP00000491215.1	1	11
ENSP00000283179.10	1	11
ENSP00000491305.1	1	11
ENSP00000271915.3	2	27
ENSP00000481848.1	2	27
ENSP00000343126.5	1	11
ENSP00000477878.1	1	11
ENSP00000412152.2	1	10
ENSP00000387453.1	1	10
ENSP00000331737.5	1	12
ENSP00000333602.5	1	12
ENSP00000374213.3	2	41
ENSP00000374212.2	2	41
ENSP00000408583.2	1	24
ENSP00000401012.2	1	24
ENSP00000401424.1	1	24
ENSP00000416957.2	1	24
ENSP00000369075.4	1	14
ENSP00000446184.2	1	11
ENSP00000324315.6	1	11
ENSP00000360031.4	1	11
ENSP00000414863.1	1	11
ENSP00000400008.1	1	38
ENSP00000230354.5	1	38
ENSP00000416482.1	1	38
ENSP00000490461.1	1	38
ENSP00000442132.1	1	38
ENSP00000375942.2	1	38
ENSP00000460300.1	1	21
ENSP00000461625.1	1	21
ENSP00000301396.5	1	21
ENSP00000416231.2	1	21
ENSP00000344546.4	1	18
ENSP00000055163.7	1	18
ENSP00000490491.1	1	18
ENSP00000356590.3	1	10
ENSP00000391716.1	1	10
ENSP00000353362.5	1	13
ENSP00000489778.1	1	13
ENSP00000467729.1	1	13
ENSP00000489861.1	1	13
ENSP00000465598.2	1	13
ENSP00000489829.1	1	13
ENSP00000490223.1	1	13
ENSP00000490001.1	1	13
ENSP00000460092.3	1	13
ENSP00000479983.1	1	13
ENSP00000420721.1	1	17
ENSP00000320794.4	1	17
ENSP00000428480.2	1	19
ENSP00000463154.1	1	10
ENSP00000481415.1	1	10
ENSP00000393718.2	1	10
ENSP00000358111.2	1	10
ENSP00000436529.1	1	10
ENSP00000487027.1	1	10
ENSP00000421768.1	1	27
ENSP00000424668.1	1	27
ENSP00000334836.5	1	27
ENSP00000331157.7	1	21
ENSP00000385450.2	1	21
ENSP00000418177.2	1	21
ENSP00000420323.1	1	21
ENSP00000418862.2	1	21
ENSP00000424369.1	1	21
ENSP00000420796.1	1	21
ENSP00000418044.1	1	21
ENSP00000477591.1	1	21
ENSP00000480920.1	1	21
ENSP00000361073.1	1	29
ENSP00000361066.3	1	29
ENSP00000361065.3	1	29
ENSP00000420234.1	1	10
ENSP00000428067.2	1	10
ENSP00000439585.1	1	10
ENSP00000385866.1	1	14
ENSP00000348577.3	1	14
ENSP00000401470.2	1	14
ENSP00000450607.1	1	13
ENSP00000229201.4	1	13
ENSP00000361810.1	3	44
ENSP00000361809.1	3	44
ENSP00000287239.4	3	44
ENSP00000361799.1	3	44
ENSP00000361796.1	3	44
ENSP00000487346.1	1	14
ENSP00000477771.2	2	44
ENSP00000483021.1	2	44
ENSP00000495189.1	1	10
ENSP00000496709.1	1	10
ENSP00000397906.2	1	10
ENSP00000444633.1	1	10
ENSP00000279451.5	1	10
ENSP00000495695.1	1	10
ENSP00000495954.1	1	10
ENSP00000495501.1	1	10
ENSP00000496573.1	1	10
ENSP00000368824.3	1	10
ENSP00000494906.1	1	10
ENSP00000496088.1	1	10
ENSP00000495012.1	1	10
ENSP00000494115.1	1	10
ENSP00000492108.1	1	14
ENSP00000341024.5	1	15
ENSP00000399518.1	1	15
ENSP00000399708.2	1	15
ENSP00000479213.1	1	20
ENSP00000484604.1	1	20
ENSP00000486746.1	1	20
ENSP00000474349.1	1	12
ENSP00000262710.1	1	12
ENSP00000451328.1	1	12
ENSP00000405677.1	1	12
ENSP00000397435.2	1	13
ENSP00000437414.1	1	13
ENSP00000314029.8	1	10
ENSP00000403712.2	1	10
ENSP00000483614.1	1	10
ENSP00000349788.2	1	23
ENSP00000392081.2	1	23
ENSP00000490486.1	1	23
ENSP00000265773.5	1	23
ENSP00000490852.1	1	23
ENSP00000489968.1	1	23
ENSP00000371629.1	1	23
ENSP00000489256.1	1	23
ENSP00000490551.1	1	23
ENSP00000371638.1	1	23
ENSP00000393143.2	1	11
ENSP00000414373.2	1	11
ENSP00000394994.1	1	12
ENSP00000390550.2	1	11
ENSP00000262367.5	1	18
ENSP00000371502.3	1	18
ENSP00000304956.4	1	28
ENSP00000396188.1	1	11
ENSP00000407294.2	1	11
ENSP00000398545.1	1	11
ENSP00000474253.1	1	10
ENSP00000442924.1	1	10
ENSP00000267197.6	1	10
ENSP00000481531.1	1	10
ENSP00000410772.2	1	13
ENSP00000404376.2	1	13
ENSP00000479172.1	1	13
ENSP00000483517.1	1	13
ENSP00000407088.2	1	10
ENSP00000412625.1	1	10
ENSP00000370391.3	1	15
ENSP00000440163.1	1	15
ENSP00000365427.1	1	17
ENSP00000321618.5	1	17
ENSP00000365441.2	1	17
ENSP00000435680.1	1	10
ENSP00000265651.3	1	10
ENSP00000435165.1	1	10
ENSP00000434001.1	1	10
ENSP00000471700.1	1	11
ENSP00000441267.2	1	11
ENSP00000472302.1	1	11
ENSP00000222308.4	1	11
ENSP00000476767.1	1	11
ENSP00000472921.1	1	11
ENSP00000472643.2	1	11
ENSP00000472731.2	1	11
ENSP00000472087.1	1	11
ENSP00000472043.1	1	11
ENSP00000349300.4	1	13
ENSP00000351307.5	1	13
ENSP00000496168.1	1	13
ENSP00000338774.7	1	13
ENSP00000306754.4	1	10
ENSP00000342434.4	1	13
ENSP00000385442.1	1	13
ENSP00000486730.1	1	13
ENSP00000268124.5	1	13
ENSP00000399851.2	1	13
ENSP00000489799.1	1	13
ENSP00000346389.5	1	11
ENSP00000454120.1	1	11
ENSP00000453441.1	1	11
ENSP00000399460.2	1	11
ENSP00000453095.1	1	11
ENSP00000337202.7	1	11
ENSP00000394371.1	1	11
ENSP00000407876.1	1	11
ENSP00000416737.1	1	11
ENSP00000373081.4	1	11
ENSP00000373082.4	1	11
ENSP00000406926.1	1	12
ENSP00000383452.3	1	11
ENSP00000439856.2	1	12
ENSP00000198939.6	1	12
ENSP00000495441.1	1	10
ENSP00000327465.1	2	44
ENSP00000442412.1	2	44
ENSP00000252825.3	1	12
ENSP00000470288.1	1	12
ENSP00000478155.1	1	16
ENSP00000482968.1	1	16
ENSP00000479094.1	1	16
ENSP00000317903.6	1	10
ENSP00000385839.1	1	10
ENSP00000489424.1	1	10
ENSP00000394676.2	1	10
ENSP00000385169.2	1	10
ENSP00000351784.2	1	10
ENSP00000408536.2	1	10
ENSP00000264051.3	1	11
ENSP00000362653.4	1	11
ENSP00000387033.1	1	11
ENSP00000372691.4	1	10
ENSP00000397558.1	1	10
ENSP00000393011.1	1	11
ENSP00000389203.2	1	11
ENSP00000415328.1	1	11
ENSP00000452068.1	1	12
ENSP00000329200.2	1	12
ENSP00000452299.1	1	12
ENSP00000363215.1	2	53
ENSP00000363193.3	2	53
ENSP00000333125.7	2	53
ENSP00000350756.3	1	10
ENSP00000362865.2	1	10
ENSP00000273063.6	1	10
ENSP00000396863.1	1	10
ENSP00000314006.3	1	10
ENSP00000382114.2	1	16
ENSP00000496210.1	1	16
ENSP00000396103.2	1	16
ENSP00000268893.6	1	14
ENSP00000345824.4	1	14
ENSP00000462710.1	1	14
ENSP00000394421.1	1	11
ENSP00000415755.2	1	11
ENSP00000414248.1	1	11
ENSP00000283147.6	1	10
ENSP00000488984.1	1	11
ENSP00000319597.5	1	10
ENSP00000308439.7	1	10
ENSP00000457892.1	1	10
ENSP00000378954.2	1	10
ENSP00000454421.1	1	10
ENSP00000352962.2	1	11
ENSP00000430297.1	1	11
ENSP00000445880.1	1	15
ENSP00000420211.1	1	10
ENSP00000392918.1	1	10
ENSP00000462745.1	1	23
ENSP00000479800.1	1	23
ENSP00000385705.3	1	10
ENSP00000219746.9	1	10
ENSP00000357052.3	1	14
ENSP00000318227.2	1	14
ENSP00000357053.1	1	14
ENSP00000476407.1	1	14
ENSP00000477464.1	1	14
ENSP00000476351.1	1	14
ENSP00000413688.1	1	14
ENSP00000477012.1	1	14
ENSP00000411875.1	1	10
ENSP00000205061.5	1	12
ENSP00000405984.2	1	12
ENSP00000406946.2	1	12
ENSP00000455950.1	1	12
ENSP00000454218.1	1	12
ENSP00000487234.1	1	12
ENSP00000349486.2	1	10
ENSP00000322938.3	1	10
ENSP00000366756.3	1	10
ENSP00000289371.5	1	12
ENSP00000478914.1	1	12
ENSP00000395244.1	1	12
ENSP00000432786.1	1	11
ENSP00000435776.1	1	11
ENSP00000309302.6	1	11
ENSP00000420707.2	1	24
ENSP00000495497.1	1	24
ENSP00000360493.1	1	24
ENSP00000360491.6	1	24
ENSP00000458178.1	1	24
ENSP00000460188.1	1	24
ENSP00000496517.1	1	24
ENSP00000352514.5	1	24
ENSP00000485863.1	1	24
ENSP00000360486.4	1	24
ENSP00000384004.1	1	10
ENSP00000430514.2	1	10
ENSP00000452911.1	1	10
ENSP00000453020.1	1	10
ENSP00000452633.1	1	10
ENSP00000216190.8	1	15
ENSP00000487325.1	1	12
ENSP00000385812.1	1	15
ENSP00000412081.1	1	13
ENSP00000344042.4	1	13
ENSP00000387195.1	1	13
ENSP00000318258.7	1	13
ENSP00000413319.2	1	11
ENSP00000389472.2	1	11
ENSP00000416890.1	1	12
ENSP00000394785.2	1	11
ENSP00000337838.6	1	10
ENSP00000322147.7	1	10
ENSP00000350365.4	1	10
ENSP00000384825.2	1	10
ENSP00000343948.6	1	10
ENSP00000230323.4	1	10
ENSP00000351742.2	1	10
ENSP00000362124.1	1	10
ENSP00000377824.1	1	10
ENSP00000410391.1	1	10
ENSP00000406491.1	1	10
ENSP00000400276.1	1	10
ENSP00000396168.1	1	10
ENSP00000393874.1	1	10
ENSP00000384203.4	1	10
ENSP00000412551.1	1	10
ENSP00000359393.3	1	14
ENSP00000442758.1	1	14
ENSP00000410041.2	1	10
ENSP00000442432.1	1	10
ENSP00000483199.1	1	10
ENSP00000478503.2	1	10
ENSP00000487576.1	1	10
ENSP00000414377.2	1	24
ENSP00000388879.2	1	24
ENSP00000399344.1	1	24
ENSP00000396119.2	1	24
ENSP00000265107.4	1	11
ENSP00000425841.1	1	11
ENSP00000353769.2	2	35
ENSP00000280665.6	1	11
ENSP00000444374.1	1	11
ENSP00000313603.8	1	11
ENSP00000365728.3	1	11
ENSP00000405512.1	1	12
ENSP00000480573.1	1	12
ENSP00000229243.2	1	11
ENSP00000402725.2	1	11
ENSP00000443153.1	1	11
ENSP00000386342.1	1	14
ENSP00000386456.3	1	14
ENSP00000385181.3	1	14
ENSP00000478600.1	1	10
ENSP00000252050.4	1	11
ENSP00000361730.2	1	11
ENSP00000263377.1	1	10
ENSP00000329170.5	1	21
ENSP00000403526.2	1	11
ENSP00000389065.2	1	11
ENSP00000406948.1	1	12
ENSP00000397875.2	1	11
ENSP00000348529.2	2	26
ENSP00000367905.1	2	26
ENSP00000422149.1	2	26
ENSP00000384442.3	2	26
ENSP00000462289.1	2	26
ENSP00000350403.2	2	26
ENSP00000351629.5	2	26
ENSP00000367900.1	2	26
ENSP00000398286.2	1	24
ENSP00000403402.2	1	24
ENSP00000411035.1	1	24
ENSP00000392305.2	1	24
ENSP00000374152.4	1	11
ENSP00000362441.4	1	15
ENSP00000378967.3	1	15
ENSP00000373102.2	1	11
ENSP00000331131.5	1	11
ENSP00000379806.1	1	11
ENSP00000310094.4	1	15
ENSP00000440336.1	1	15
ENSP00000279394.3	1	15
ENSP00000393048.2	1	15
ENSP00000482406.1	1	10
ENSP00000484041.1	1	10
