record	segment_length
XP_010764066.1	6
XP_010764071.1	7
XP_010764072.1	10
XP_010764072.1	5
XP_010764124.1	6
XP_010764134.1	18
XP_010764162.1	9
XP_010764162.1	9
XP_010764162.1	7
XP_010764192.1	5
XP_010764192.1	6
XP_010764224.1	5
XP_010764229.1	5
XP_010764231.1	5
XP_010764231.1	5
XP_010764232.1	5
XP_010764233.1	5
XP_010764238.1	5
XP_010764242.1	8
XP_010764242.1	6
XP_010764242.1	7
XP_010764243.1	8
XP_010764243.1	6
XP_010764243.1	7
XP_010764244.1	8
XP_010764244.1	6
XP_010764244.1	7
XP_010764245.1	8
XP_010764245.1	6
XP_010764246.1	8
XP_010764246.1	6
XP_010764246.1	7
XP_010764247.1	5
XP_010764248.1	5
XP_010764249.1	5
XP_010764257.1	8
XP_010764267.1	8
XP_010764268.1	8
XP_010764269.1	8
XP_010764270.1	8
XP_010764271.1	8
XP_010764275.1	5
XP_010764278.1	5
XP_010764280.1	6
XP_010764282.1	16
XP_010764283.1	16
XP_010764286.1	6
XP_010764286.1	8
XP_010764286.1	5
XP_010764286.1	6
XP_010764287.1	7
XP_010764288.1	7
XP_010764289.1	7
XP_010764290.1	7
XP_010764291.1	7
XP_010764292.1	7
XP_010764293.1	7
XP_010764294.1	7
XP_010764295.1	7
XP_010764296.1	7
XP_010764298.1	7
XP_010764299.1	7
XP_010764300.1	7
XP_010764306.1	5
XP_010764306.1	14
XP_010764307.1	5
XP_010764307.1	14
XP_010764309.1	5
XP_010764310.1	5
XP_010764316.1	6
XP_010764333.1	5
XP_010764333.1	5
XP_010764336.1	7
XP_010764337.1	7
XP_010764374.1	10
XP_010764380.1	5
XP_010764382.1	5
XP_010764408.1	6
XP_010764419.1	7
XP_010764445.1	6
XP_010764450.1	6
XP_010764451.1	6
XP_010764452.1	6
XP_010764480.1	5
XP_010764515.1	6
XP_010764518.1	5
XP_010764525.1	6
XP_010764545.1	6
XP_010764574.1	6
XP_010764577.1	5
XP_010764580.1	5
XP_010764584.1	5
XP_010764602.1	5
XP_010764602.1	8
XP_010764615.1	5
XP_010764616.1	5
XP_010764621.1	5
XP_010764622.1	6
XP_010764623.1	6
XP_010764624.1	6
XP_010764625.1	6
XP_010764650.1	5
XP_010764650.1	5
XP_010764650.1	5
XP_010764650.1	8
XP_010764650.1	13
XP_010764650.1	5
XP_010764650.1	9
XP_010764656.1	9
XP_010764668.1	10
XP_010764691.1	5
XP_010764691.1	6
XP_010764706.1	5
XP_010764707.1	5
XP_010764746.1	7
XP_010764790.1	6
XP_010764791.1	6
XP_010764793.1	6
XP_010764798.1	6
XP_010764799.1	6
XP_010764800.1	6
XP_010764801.1	6
XP_010764833.1	5
XP_010764833.1	5
XP_010764833.1	6
XP_010764852.1	5
XP_010764871.1	19
XP_010764871.1	10
XP_010764871.1	5
XP_010764874.1	6
XP_010764880.1	5
XP_010764880.1	7
XP_010764884.1	5
XP_010764884.1	5
XP_010764884.1	5
XP_010764884.1	8
XP_010764895.1	5
XP_010764895.1	6
XP_010764904.1	6
XP_010764923.1	5
XP_010764934.1	5
XP_010764934.1	5
XP_010764940.1	5
XP_010764940.1	7
XP_010764999.1	6
XP_010765018.1	12
XP_010765032.1	5
XP_010765043.1	5
XP_010765058.1	5
XP_010765059.1	5
XP_010765069.1	5
XP_010765112.1	5
XP_010765116.1	8
XP_010765117.1	6
XP_010765117.1	5
XP_010765132.1	5
XP_010765139.1	10
XP_010765150.1	5
XP_010765159.1	6
XP_010765179.1	5
XP_010765180.1	5
XP_010765181.1	5
XP_010765221.1	6
XP_010765222.1	6
XP_010765223.1	6
XP_010765231.1	5
XP_010765259.1	7
XP_010765262.1	6
XP_010765264.1	5
XP_010765269.1	6
XP_010765275.1	6
XP_010765277.1	7
XP_010765330.1	6
XP_010765331.1	6
XP_010765338.1	5
XP_010765338.1	5
XP_010765354.1	5
XP_010765354.1	6
XP_010765370.1	12
XP_010765377.1	5
XP_010765377.1	5
XP_010765385.1	5
XP_010765395.1	5
XP_010765399.1	5
XP_010765399.1	11
XP_010765399.1	5
XP_010765403.1	5
XP_010765423.1	6
XP_010765434.1	6
XP_010765440.1	7
XP_010765440.1	7
XP_010765441.1	7
XP_010765441.1	7
XP_010765442.1	7
XP_010765442.1	7
XP_010765450.1	7
XP_010765450.1	5
XP_010765451.1	7
XP_010765455.1	6
XP_010765474.1	7
XP_010765476.1	10
XP_010765513.1	7
XP_010765516.1	7
XP_010765550.1	11
XP_010765550.1	16
XP_010765562.1	5
XP_010765576.1	6
XP_010765596.1	6
XP_010765601.1	7
XP_010765602.1	5
XP_010765603.1	5
XP_010765604.1	5
XP_010765653.1	5
XP_010765653.1	8
XP_010765663.1	6
XP_010765678.1	9
XP_010765697.1	5
XP_010765698.1	11
XP_010765710.1	5
XP_010765711.1	5
XP_010765720.1	6
XP_010765723.1	10
XP_010765740.1	5
XP_010765742.1	5
XP_010765748.1	5
XP_010765761.1	5
XP_010765775.1	7
XP_010765779.1	6
XP_010765786.1	7
XP_010765786.1	6
XP_010765793.1	5
XP_010765796.1	6
XP_010765797.1	6
XP_010765798.1	5
XP_010765815.1	7
XP_010765816.1	7
XP_010765835.1	6
XP_010765878.1	5
XP_010765879.1	6
XP_010765879.1	5
XP_010765890.1	5
XP_010765890.1	12
XP_010765894.1	24
XP_010765895.1	5
XP_010765896.1	5
XP_010765926.1	5
XP_010765927.1	8
XP_010765950.1	5
XP_010765982.1	7
XP_010765986.1	7
XP_010765989.1	5
XP_010765990.1	5
XP_010765991.1	5
XP_010765993.1	6
XP_010765996.1	8
XP_010766005.1	5
XP_010766031.1	6
XP_010766054.1	6
XP_010766062.1	8
XP_010766086.1	12
XP_010766087.1	12
XP_010766088.1	12
XP_010766139.1	8
XP_010766160.1	7
XP_010766174.1	5
XP_010766174.1	5
XP_010766194.1	5
XP_010766195.1	5
XP_010766196.1	5
XP_010766217.1	5
XP_010766240.1	5
XP_010766246.1	6
XP_010766291.1	14
XP_010766293.1	14
XP_010766294.1	14
XP_010766295.1	14
XP_010766320.1	5
XP_010766320.1	5
XP_010766320.1	5
XP_010766320.1	6
XP_010766359.1	6
XP_010766361.1	6
XP_010766401.1	5
XP_010766402.1	5
XP_010766403.1	5
XP_010766405.1	5
XP_010766408.1	5
XP_010766412.1	8
XP_010766420.1	5
XP_010766439.1	6
XP_010766440.1	5
XP_010766478.1	6
XP_010766484.1	5
XP_010766492.1	11
XP_010766521.1	5
XP_010766522.1	5
XP_010766551.1	7
XP_010766569.1	5
XP_010766574.1	6
XP_010766578.1	5
XP_010766604.1	6
XP_010766604.1	5
XP_010766607.1	5
XP_010766607.1	5
XP_010766607.1	16
XP_010766608.1	5
XP_010766608.1	5
XP_010766608.1	16
XP_010766609.1	5
XP_010766609.1	5
XP_010766609.1	16
XP_010766610.1	5
XP_010766610.1	5
XP_010766610.1	16
XP_010766611.1	5
XP_010766611.1	5
XP_010766611.1	16
XP_010766661.1	5
XP_010766661.1	5
XP_010766679.1	6
XP_010766707.1	5
XP_010766725.1	5
XP_010766725.1	5
XP_010766732.1	7
XP_010766738.1	10
XP_010766750.1	6
XP_010766751.1	6
XP_010766755.1	12
XP_010766755.1	5
XP_010766762.1	12
XP_010766762.1	5
XP_010766767.1	5
XP_010766782.1	5
XP_010766826.1	6
XP_010766826.1	5
XP_010766827.1	5
XP_010766853.1	8
XP_010766862.1	5
XP_010766862.1	5
XP_010766863.1	5
XP_010766863.1	5
XP_010766864.1	5
XP_010766864.1	5
XP_010766875.1	6
XP_010766876.1	6
XP_010766878.1	7
XP_010766890.1	6
XP_010766948.1	19
XP_010766965.1	5
XP_010766992.1	5
XP_010766999.1	6
XP_010767005.1	9
XP_010767006.1	9
XP_010767007.1	5
XP_010767008.1	8
XP_010767009.1	5
XP_010767010.1	5
XP_010767011.1	5
XP_010767012.1	5
XP_010767013.1	5
XP_010767036.1	5
XP_010767037.1	5
XP_010767045.1	5
XP_010767052.1	7
XP_010767067.1	5
XP_010767068.1	5
XP_010767081.1	5
XP_010767088.1	7
XP_010767089.1	7
XP_010767090.1	7
XP_010767100.1	5
XP_010767101.1	5
XP_010767129.1	5
XP_010767130.1	5
XP_010767134.1	7
XP_010767135.1	5
XP_010767135.1	5
XP_010767135.1	7
XP_010767148.1	5
XP_010767148.1	10
XP_010767149.1	5
XP_010767149.1	10
XP_010767150.1	5
XP_010767150.1	10
XP_010767151.1	5
XP_010767151.1	10
XP_010767197.1	5
XP_010767200.1	5
XP_010767232.1	6
XP_010767232.1	6
XP_010767235.1	5
XP_010767256.1	12
XP_010767259.1	5
XP_010767266.1	5
XP_010767267.1	5
XP_010767273.1	5
XP_010767278.1	5
XP_010767279.1	5
XP_010767280.1	5
XP_010767281.1	5
XP_010767284.1	5
XP_010767285.1	5
XP_010767294.1	5
XP_010767362.1	6
XP_010767385.1	5
XP_010767393.1	5
XP_010767393.1	7
XP_010767393.1	7
XP_010767393.1	5
XP_010767393.1	5
XP_010767400.1	5
XP_010767400.1	7
XP_010767400.1	7
XP_010767400.1	5
XP_010767400.1	5
XP_010767401.1	6
XP_010767407.1	5
XP_010767407.1	7
XP_010767407.1	7
XP_010767407.1	5
XP_010767407.1	5
XP_010767421.1	8
XP_010767422.1	8
XP_010767433.1	7
XP_010767436.1	11
XP_010767460.1	6
XP_010767498.1	5
XP_010767509.1	5
