record	sig_segments	total_length
ENSGACP00000001422.1	1	10
ENSGACP00000002131.1	1	11
ENSGACP00000002224.1	1	10
ENSGACP00000002930.1	1	10
ENSGACP00000002986.1	1	10
ENSGACP00000004732.1	1	10
ENSGACP00000005257.1	1	10
ENSGACP00000005562.1	1	13
ENSGACP00000005978.1	1	14
ENSGACP00000006170.1	1	10
ENSGACP00000008866.1	1	12
ENSGACP00000010793.1	1	10
ENSGACP00000011143.1	1	12
ENSGACP00000011320.1	1	16
ENSGACP00000011831.1	1	12
ENSGACP00000013948.1	1	14
ENSGACP00000024881.3	1	19
ENSGACP00000004192.2	1	12
ENSGACP00000025251.2	1	10
ENSGACP00000018607.1	1	11
ENSGACP00000019196.1	1	10
ENSGACP00000019687.2	2	35
ENSGACP00000017786.3	1	20
ENSGACP00000017376.2	1	10
ENSGACP00000007038.2	1	10
ENSGACP00000020563.1	1	10
ENSGACP00000022433.2	2	27
ENSGACP00000024500.2	1	30
ENSGACP00000019826.2	1	11
ENSGACP00000012785.2	1	13
ENSGACP00000026934.2	1	12
ENSGACP00000012283.1	1	10
ENSGACP00000012088.2	1	10
ENSGACP00000021040.2	2	27
ENSGACP00000009672.2	1	10
ENSGACP00000026772.3	1	13
ENSGACP00000012553.2	1	10
ENSGACP00000022295.1	1	11
ENSGACP00000006105.2	1	15
ENSGACP00000023789.2	1	12
ENSGACP00000015827.2	1	11
ENSGACP00000006667.2	1	34
ENSGACP00000022875.1	1	10
ENSGACP00000011596.2	1	10
ENSGACP00000011555.1	1	10
ENSGACP00000024131.2	1	13
ENSGACP00000026107.2	1	14
ENSGACP00000011458.2	1	12
ENSGACP00000023021.2	1	11
ENSGACP00000023732.1	1	10
ENSGACP00000013129.2	1	15
ENSGACP00000023950.2	1	10
ENSGACP00000027173.2	1	10
ENSGACP00000016334.3	1	19
ENSGACP00000025224.2	1	10
ENSGACP00000016191.2	1	12
ENSGACP00000015088.2	1	12
ENSGACP00000027376.2	1	16
ENSGACP00000021945.2	1	17
ENSGACP00000009143.2	1	10
ENSGACP00000005559.2	1	24
ENSGACP00000000471.2	1	25
ENSGACP00000006853.2	1	10
