record	segment_length
contig24888	11
contig09990	13
contig40824	12
contig39564	13
contig00553	10
contig27868	12
contig27868	25
contig27121	10
contig27121	15
contig35609	11
contig26308	11
contig14162	12
contig11627	10
contig28166	11
contig33924	13
contig41046	10
contig29030	10
contig11516	13
contig32689	12
contig32681	11
contig26962	10
contig16758	12
contig28883	14
contig15539	26
contig00710	10
contig26271	13
contig16493	11
contig39656	12
contig39656	10
contig39656	12
contig22620	11
contig34095	13
contig40275	12
contig41813	12
contig24963	11
contig31223	10
contig01159	10
contig32022	10
contig36916	10
contig37329	12
contig02051	10
contig39176	11
contig14624	10
contig14624	10
contig20152	11
contig40013	10
contig40013	13
contig05257	13
contig34052	13
contig36039	10
contig11243	15
contig39617	10
contig23862	18
contig15772	12
contig11291	12
contig31012	11
contig33849	12
contig30820	10
