record	segment_length
ENSLOCP00000000005.1	5
ENSLOCP00000000014.1	5
ENSLOCP00000000026.1	6
ENSLOCP00000000027.1	6
ENSLOCP00000000030.1	10
ENSLOCP00000000033.1	10
ENSLOCP00000000046.1	5
ENSLOCP00000000047.1	5
ENSLOCP00000000049.1	5
ENSLOCP00000000092.1	6
ENSLOCP00000000106.1	13
ENSLOCP00000000164.1	5
ENSLOCP00000000191.1	13
ENSLOCP00000000208.1	5
ENSLOCP00000000208.1	9
ENSLOCP00000000226.1	5
ENSLOCP00000000236.1	5
ENSLOCP00000000272.1	5
ENSLOCP00000000285.1	5
ENSLOCP00000000294.1	5
ENSLOCP00000000317.1	5
ENSLOCP00000000460.1	5
ENSLOCP00000000463.1	5
ENSLOCP00000000487.1	6
ENSLOCP00000000502.1	6
ENSLOCP00000000563.1	5
ENSLOCP00000000563.1	5
ENSLOCP00000000563.1	6
ENSLOCP00000000605.1	5
ENSLOCP00000000605.1	5
ENSLOCP00000000605.1	7
ENSLOCP00000000693.1	5
ENSLOCP00000000701.1	5
ENSLOCP00000000701.1	5
ENSLOCP00000000701.1	7
ENSLOCP00000000701.1	7
ENSLOCP00000000701.1	5
ENSLOCP00000000701.1	6
ENSLOCP00000000701.1	5
ENSLOCP00000000751.1	5
ENSLOCP00000000819.1	6
ENSLOCP00000000847.1	6
ENSLOCP00000000799.1	6
ENSLOCP00000000878.1	7
ENSLOCP00000000906.1	7
ENSLOCP00000000934.1	7
ENSLOCP00000000888.1	6
ENSLOCP00000000909.1	6
ENSLOCP00000000949.1	6
ENSLOCP00000001009.1	5
ENSLOCP00000000975.1	5
ENSLOCP00000000975.1	6
ENSLOCP00000000982.1	5
ENSLOCP00000000987.1	5
ENSLOCP00000001014.1	13
ENSLOCP00000001018.1	5
ENSLOCP00000001018.1	5
ENSLOCP00000001044.1	5
ENSLOCP00000001044.1	5
ENSLOCP00000001019.1	5
ENSLOCP00000001094.1	6
ENSLOCP00000001107.1	5
ENSLOCP00000001105.1	5
ENSLOCP00000001105.1	5
ENSLOCP00000001105.1	5
ENSLOCP00000001126.1	5
ENSLOCP00000001126.1	5
ENSLOCP00000001126.1	5
ENSLOCP00000001126.1	7
ENSLOCP00000001126.1	7
ENSLOCP00000001110.1	7
ENSLOCP00000001123.1	6
ENSLOCP00000001123.1	5
ENSLOCP00000001131.1	11
ENSLOCP00000001184.1	5
ENSLOCP00000001184.1	7
ENSLOCP00000001203.1	5
ENSLOCP00000001203.1	7
ENSLOCP00000001168.1	6
ENSLOCP00000001168.1	8
ENSLOCP00000001188.1	6
ENSLOCP00000001174.1	5
ENSLOCP00000001208.1	10
ENSLOCP00000001208.1	5
ENSLOCP00000001226.1	10
ENSLOCP00000001202.1	5
ENSLOCP00000001216.1	6
ENSLOCP00000001250.1	6
ENSLOCP00000001255.1	8
ENSLOCP00000001264.1	5
ENSLOCP00000001264.1	7
ENSLOCP00000001270.1	5
ENSLOCP00000001270.1	5
ENSLOCP00000001278.1	10
ENSLOCP00000001294.1	7
ENSLOCP00000001321.1	6
ENSLOCP00000001325.1	9
ENSLOCP00000001427.1	5
ENSLOCP00000001427.1	5
ENSLOCP00000001427.1	5
ENSLOCP00000001366.1	5
ENSLOCP00000001420.1	8
ENSLOCP00000001462.1	5
ENSLOCP00000001487.1	5
ENSLOCP00000001477.1	6
ENSLOCP00000001476.1	6
ENSLOCP00000001497.1	6
ENSLOCP00000001492.1	5
ENSLOCP00000001500.1	12
ENSLOCP00000001508.1	6
ENSLOCP00000001508.1	5
ENSLOCP00000001522.1	8
ENSLOCP00000001546.1	8
ENSLOCP00000001575.1	6
ENSLOCP00000001553.1	5
ENSLOCP00000001566.1	5
ENSLOCP00000001577.1	5
ENSLOCP00000001562.1	6
ENSLOCP00000001579.1	6
ENSLOCP00000001605.1	6
ENSLOCP00000001585.1	5
ENSLOCP00000001599.1	6
ENSLOCP00000001619.1	5
ENSLOCP00000001619.1	9
ENSLOCP00000001619.1	10
ENSLOCP00000001619.1	8
ENSLOCP00000001616.1	10
ENSLOCP00000001616.1	7
ENSLOCP00000001616.1	6
ENSLOCP00000001622.1	7
