record	segment_length
ENSGMOP00000000754.1	10
ENSGMOP00000000768.1	11
ENSGMOP00000000830.1	10
ENSGMOP00000001070.1	10
ENSGMOP00000001147.1	11
ENSGMOP00000001273.1	11
ENSGMOP00000001338.1	13
ENSGMOP00000001453.1	10
ENSGMOP00000002466.1	10
ENSGMOP00000002574.1	12
ENSGMOP00000002591.1	12
ENSGMOP00000002593.1	12
ENSGMOP00000002659.1	10
ENSGMOP00000002795.1	11
ENSGMOP00000002795.1	10
ENSGMOP00000002799.1	10
ENSGMOP00000003166.1	11
ENSGMOP00000003252.1	12
ENSGMOP00000003321.1	13
ENSGMOP00000003472.1	10
ENSGMOP00000003504.1	10
ENSGMOP00000003709.1	14
ENSGMOP00000004057.1	13
ENSGMOP00000004013.1	13
ENSGMOP00000004197.1	10
ENSGMOP00000004382.1	11
ENSGMOP00000004810.1	12
ENSGMOP00000005001.1	10
ENSGMOP00000005091.1	14
ENSGMOP00000005154.1	12
ENSGMOP00000005645.1	13
ENSGMOP00000007214.1	16
ENSGMOP00000007375.1	12
ENSGMOP00000007440.1	12
ENSGMOP00000007627.1	17
ENSGMOP00000007745.1	10
ENSGMOP00000008255.1	13
ENSGMOP00000008401.1	15
ENSGMOP00000008494.1	11
ENSGMOP00000008525.1	13
ENSGMOP00000008652.1	10
ENSGMOP00000008871.1	14
ENSGMOP00000008887.1	11
ENSGMOP00000008973.1	10
ENSGMOP00000009591.1	10
ENSGMOP00000009843.1	16
ENSGMOP00000009935.1	16
ENSGMOP00000010451.1	11
ENSGMOP00000010405.1	13
ENSGMOP00000010449.1	30
ENSGMOP00000010626.1	10
ENSGMOP00000010856.1	14
ENSGMOP00000010914.1	11
ENSGMOP00000011308.1	12
ENSGMOP00000011369.1	11
ENSGMOP00000011443.1	13
ENSGMOP00000011456.1	17
ENSGMOP00000011658.1	11
ENSGMOP00000011735.1	15
ENSGMOP00000012065.1	11
ENSGMOP00000012675.1	11
ENSGMOP00000012774.1	12
ENSGMOP00000012948.1	12
ENSGMOP00000013022.1	11
ENSGMOP00000013193.1	12
ENSGMOP00000013195.1	12
ENSGMOP00000013202.1	12
ENSGMOP00000013203.1	12
ENSGMOP00000013578.1	21
ENSGMOP00000013914.1	12
ENSGMOP00000013977.1	10
ENSGMOP00000014045.1	10
ENSGMOP00000014045.1	11
ENSGMOP00000014073.1	12
ENSGMOP00000014068.1	14
ENSGMOP00000014535.1	10
ENSGMOP00000014853.1	11
ENSGMOP00000014858.1	10
ENSGMOP00000014910.1	21
ENSGMOP00000015233.1	15
ENSGMOP00000015786.1	12
ENSGMOP00000015930.1	14
ENSGMOP00000016360.1	12
ENSGMOP00000016592.1	10
ENSGMOP00000016710.1	13
ENSGMOP00000017016.1	10
ENSGMOP00000016998.1	18
ENSGMOP00000017089.1	10
ENSGMOP00000017103.1	13
ENSGMOP00000017601.1	11
ENSGMOP00000017715.1	11
ENSGMOP00000017887.1	14
ENSGMOP00000018341.1	15
ENSGMOP00000018363.1	11
ENSGMOP00000018639.1	10
ENSGMOP00000018711.1	10
ENSGMOP00000018720.1	15
ENSGMOP00000018720.1	12
ENSGMOP00000019658.1	10
ENSGMOP00000019675.1	14
ENSGMOP00000019698.1	12
ENSGMOP00000019930.1	11
ENSGMOP00000019956.1	10
ENSGMOP00000020052.1	11
ENSGMOP00000020214.1	11
ENSGMOP00000020214.1	12
ENSGMOP00000020330.1	10
ENSGMOP00000020753.1	11
ENSGMOP00000020848.1	10
ENSGMOP00000021382.1	12
ENSGMOP00000021914.1	11
