record	segment_length
ENSP00000318195.4	10
ENSP00000442053.2	12
ENSP00000376344.3	12
ENSP00000261741.5	12
ENSP00000476504.1	23
ENSP00000366843.3	23
ENSP00000494663.1	23
ENSP00000446512.2	23
ENSP00000496279.1	23
ENSP00000493897.1	23
ENSP00000446576.2	23
ENSP00000360555.3	12
ENSP00000308315.5	12
ENSP00000479233.1	12
ENSP00000379212.2	12
ENSP00000493724.1	10
ENSP00000295900.6	10
ENSP00000402395.1	11
ENSP00000408233.2	11
ENSP00000406707.1	11
ENSP00000460876.1	14
ENSP00000322579.3	14
ENSP00000460738.1	14
ENSP00000458953.1	14
ENSP00000414607.2	14
ENSP00000352463.3	10
ENSP00000335561.4	10
ENSP00000385531.1	10
ENSP00000384018.1	17
ENSP00000384202.1	17
ENSP00000400281.2	17
ENSP00000402808.1	17
ENSP00000385618.3	17
ENSP00000348551.4	17
ENSP00000345359.6	11
ENSP00000366513.4	11
ENSP00000401934.1	11
ENSP00000354997.4	11
ENSP00000384048.1	12
ENSP00000389849.1	12
ENSP00000380376.1	12
ENSP00000301463.4	11
ENSP00000449452.1	11
ENSP00000304108.5	14
ENSP00000478477.1	14
ENSP00000488624.1	17
ENSP00000492911.1	17
ENSP00000487744.1	17
ENSP00000262932.3	14
ENSP00000355562.2	11
ENSP00000264183.3	11
ENSP00000394663.1	11
ENSP00000379078.3	24
ENSP00000364678.4	24
ENSP00000364680.4	24
ENSP00000364687.4	24
ENSP00000340702.3	10
ENSP00000483516.1	10
ENSP00000382886.3	24
ENSP00000382888.3	24
ENSP00000372863.2	24
ENSP00000372864.4	24
ENSP00000346420.2	10
ENSP00000346420.2	19
ENSP00000457593.1	10
ENSP00000457593.1	19
ENSP00000486610.1	10
ENSP00000486610.1	19
ENSP00000377343.2	10
ENSP00000377343.2	19
ENSP00000455628.1	10
ENSP00000455628.1	19
ENSP00000338806.2	10
ENSP00000338806.2	19
ENSP00000352172.5	12
ENSP00000394108.2	13
ENSP00000404623.1	13
ENSP00000484830.1	13
ENSP00000327617.4	17
ENSP00000387100.4	17
ENSP00000395491.1	11
ENSP00000410446.2	11
ENSP00000391879.1	11
ENSP00000382281.3	13
ENSP00000372681.4	13
ENSP00000480448.1	13
ENSP00000478810.1	13
ENSP00000411327.2	11
ENSP00000391102.2	11
ENSP00000406756.1	12
ENSP00000397199.2	11
ENSP00000353638.4	11
ENSP00000377855.3	11
ENSP00000312649.5	11
ENSP00000384403.1	11
ENSP00000409364.1	11
ENSP00000473593.1	15
ENSP00000266671.5	15
ENSP00000480767.1	15
ENSP00000409182.1	11
ENSP00000392805.2	11
ENSP00000390258.1	11
ENSP00000399135.2	24
ENSP00000413358.1	24
ENSP00000486948.1	24
ENSP00000486997.1	24
ENSP00000271332.3	10
ENSP00000238647.3	25
ENSP00000354597.4	18
ENSP00000357635.2	18
ENSP00000447488.1	10
ENSP00000489073.1	40
ENSP00000489073.1	12
ENSP00000489135.1	40
ENSP00000489135.1	11
ENSP00000488944.1	40
ENSP00000488944.1	12
ENSP00000377132.2	40
ENSP00000377132.2	11
ENSP00000386200.3	40
ENSP00000386200.3	11
ENSP00000265436.7	40
ENSP00000265436.7	11
ENSP00000377135.2	41
ENSP00000377135.2	10
ENSP00000377133.3	11
ENSP00000367482.3	40
ENSP00000367482.3	11
ENSP00000377129.3	40
ENSP00000377129.3	11
ENSP00000489229.1	39
ENSP00000489229.1	11
ENSP00000353367.4	40
ENSP00000353367.4	11
ENSP00000409826.2	40
ENSP00000375084.3	40
ENSP00000375084.3	11
ENSP00000488954.1	40
ENSP00000385069.4	40
ENSP00000385069.4	11
ENSP00000377130.3	40
ENSP00000377130.3	11
ENSP00000492698.1	40
ENSP00000492698.1	13
ENSP00000465489.1	13
ENSP00000466134.1	13
ENSP00000466012.1	13
ENSP00000465461.1	13
ENSP00000339245.4	20
ENSP00000347888.3	20
ENSP00000463982.1	20
ENSP00000359428.2	11
ENSP00000359428.2	10
ENSP00000414517.2	11
ENSP00000414517.2	10
ENSP00000397438.2	11
ENSP00000397438.2	10
ENSP00000262858.5	11
ENSP00000262858.5	10
ENSP00000244769.3	13
ENSP00000244769.3	14
ENSP00000416360.1	13
ENSP00000416360.1	14
ENSP00000232974.6	11
ENSP00000232974.6	12
ENSP00000414036.1	10
ENSP00000356286.5	10
ENSP00000266744.3	12
ENSP00000417583.1	12
ENSP00000436263.1	12
ENSP00000257915.5	11
ENSP00000449742.1	11
ENSP00000447991.1	11
ENSP00000449280.1	11
ENSP00000418838.2	12
ENSP00000417708.1	12
ENSP00000367956.4	12
ENSP00000419515.1	12
ENSP00000418042.1	12
ENSP00000420509.1	12
ENSP00000297788.4	12
ENSP00000463048.2	13
ENSP00000463048.2	13
ENSP00000464036.2	13
ENSP00000464036.2	13
ENSP00000464016.2	13
ENSP00000464016.2	13
ENSP00000485937.1	13
ENSP00000485937.1	13
ENSP00000485705.1	13
ENSP00000485705.1	13
ENSP00000485849.1	13
ENSP00000485849.1	13
ENSP00000290585.4	15
ENSP00000290583.4	15
ENSP00000402503.1	15
ENSP00000408794.1	11
ENSP00000292733.7	11
ENSP00000292733.7	16
ENSP00000263205.7	11
ENSP00000263205.7	16
ENSP00000384344.1	11
ENSP00000384344.1	16
ENSP00000372434.2	11
ENSP00000372434.2	16
ENSP00000415778.1	11
ENSP00000413603.1	11
ENSP00000396461.1	11
ENSP00000408875.1	11
ENSP00000390098.2	10
ENSP00000398125.1	10
ENSP00000251102.8	15
ENSP00000454633.1	15
ENSP00000451235.1	14
ENSP00000396673.2	10
ENSP00000349365.1	13
ENSP00000268489.5	15
ENSP00000268489.5	19
ENSP00000438926.3	19
ENSP00000493252.1	15
ENSP00000493252.1	19
ENSP00000266000.6	13
ENSP00000363668.5	13
ENSP00000396876.2	13
ENSP00000482399.1	13
ENSP00000382014.3	13
ENSP00000372539.4	13
ENSP00000477633.1	13
ENSP00000483394.1	13
ENSP00000440674.1	15
ENSP00000399194.2	15
ENSP00000437659.1	15
ENSP00000443676.1	15
ENSP00000323837.6	11
ENSP00000483501.1	11
ENSP00000479964.1	11
ENSP00000421180.1	25
ENSP00000421180.1	18
ENSP00000381913.1	14
ENSP00000381913.1	18
ENSP00000491685.1	11
ENSP00000393151.2	11
ENSP00000491215.1	11
ENSP00000283179.10	11
ENSP00000491305.1	11
ENSP00000271915.3	13
ENSP00000271915.3	14
ENSP00000481848.1	13
ENSP00000481848.1	14
ENSP00000343126.5	11
ENSP00000477878.1	11
ENSP00000412152.2	10
ENSP00000387453.1	10
ENSP00000331737.5	12
ENSP00000333602.5	12
ENSP00000374213.3	12
ENSP00000374213.3	29
ENSP00000374212.2	12
ENSP00000374212.2	29
ENSP00000408583.2	24
