record	segment_length
jgi|Takru4|740582|fgh5_pg.C_scaffold_317000014	12
jgi|Takru4|736255|fgh5_pg.C_scaffold_187000044	14
jgi|Takru4|736255|fgh5_pg.C_scaffold_187000044	12
jgi|Takru4|719496|fgh5_pg.C_scaffold_6000286	11
jgi|Takru4|586863|e_gw2.6.71.1	10
jgi|Takru4|586373|e_gw2.6.326.1	10
jgi|Takru4|586427|e_gw2.6.6.1	13
jgi|Takru4|586616|e_gw2.6.454.1	11
jgi|Takru4|585649|e_gw2.66.60.1	11
jgi|Takru4|585569|e_gw2.66.155.1	11
jgi|Takru4|178366|gw2.66.174.1	11
jgi|Takru4|584686|e_gw2.113.51.1	28
jgi|Takru4|748177|fgh5_pg.C_scaffold_8715000001	10
jgi|Takru4|748177|fgh5_pg.C_scaffold_8715000001	10
jgi|Takru4|747340|fgh5_pg.C_scaffold_5594000001	13
jgi|Takru4|745809|fgh5_pg.C_scaffold_3005000001	11
jgi|Takru4|745809|fgh5_pg.C_scaffold_3005000001	55
jgi|Takru4|756150|estExt_fgenesh5_pg.C_24170002	20
jgi|Takru4|746959|fgh5_pg.C_scaffold_4549000001	10
jgi|Takru4|170066|gw2.209.100.1	17
jgi|Takru4|618410|e_gw2.8.298.1	11
jgi|Takru4|141243|gw2.8.70.1	15
jgi|Takru4|719872|fgh5_pg.C_scaffold_8000072	12
jgi|Takru4|711954|fgh5_pm.C_scaffold_91000012	16
jgi|Takru4|741249|fgh5_pg.C_scaffold_353000007	26
jgi|Takru4|741249|fgh5_pg.C_scaffold_353000007	11
jgi|Takru4|741249|fgh5_pg.C_scaffold_353000007	19
jgi|Takru4|616380|e_gw2.31.158.1	13
jgi|Takru4|746438|fgh5_pg.C_scaffold_3678000001	10
jgi|Takru4|746438|fgh5_pg.C_scaffold_3678000001	10
jgi|Takru4|619427|estExt_GW.C_100178	10
jgi|Takru4|623026|estExt_GW.C_1940056	10
jgi|Takru4|657747|fgenesh4_kg.C_scaffold_4141000001	10
jgi|Takru4|715341|fgh5_pm.C_scaffold_304000008	11
jgi|Takru4|601864|e_gw2.177.72.1	16
jgi|Takru4|601358|e_gw2.16.237.1	15
jgi|Takru4|714832|fgh5_pm.C_scaffold_250000008	12
jgi|Takru4|598994|e_gw2.2.760.1	10
jgi|Takru4|713593|fgh5_pm.C_scaffold_166000022	10
jgi|Takru4|597619|e_gw2.7.93.1	10
jgi|Takru4|708234|fgh5_pm.C_scaffold_7000041	10
jgi|Takru4|715373|fgh5_pm.C_scaffold_307000015	33
jgi|Takru4|715373|fgh5_pm.C_scaffold_307000015	22
jgi|Takru4|740359|fgh5_pg.C_scaffold_307000030	13
jgi|Takru4|710083|fgh5_pm.C_scaffold_40000046	11
jgi|Takru4|614082|e_gw2.120.176.1	14
jgi|Takru4|614082|e_gw2.120.176.1	12
jgi|Takru4|611656|e_gw2.411.4.1	12
jgi|Takru4|611541|e_gw2.14.356.1	10
jgi|Takru4|611541|e_gw2.14.356.1	13
jgi|Takru4|611541|e_gw2.14.356.1	24
jgi|Takru4|611473|e_gw2.14.302.1	12
jgi|Takru4|744041|fgh5_pg.C_scaffold_720000002	12
jgi|Takru4|609365|e_gw2.206.15.1	10
