	black_rockcod.fa	stickleback
OG0000000	XP_010787039.1	ENSGACP00000000003.1, ENSGACP00000000060.1, ENSGACP00000000071.1, ENSGACP00000000120.1, ENSGACP00000000223.1, ENSGACP00000000229.1, ENSGACP00000000235.1, ENSGACP00000000288.1, ENSGACP00000000317.1, ENSGACP00000000334.1, ENSGACP00000000347.1, ENSGACP00000000408.1, ENSGACP00000000513.1, ENSGACP00000000561.1, ENSGACP00000000686.1, ENSGACP00000000695.1, ENSGACP00000000862.1, ENSGACP00000000870.1, ENSGACP00000001144.1, ENSGACP00000001156.1, ENSGACP00000001217.1, ENSGACP00000001323.1, ENSGACP00000001445.1, ENSGACP00000001574.1, ENSGACP00000001580.1, ENSGACP00000001614.1, ENSGACP00000001640.1, ENSGACP00000001705.1, ENSGACP00000001829.1, ENSGACP00000001878.1, ENSGACP00000002044.1, ENSGACP00000002191.1, ENSGACP00000002248.1, ENSGACP00000002285.1, ENSGACP00000002291.1, ENSGACP00000002293.1, ENSGACP00000002351.1, ENSGACP00000002364.1, ENSGACP00000002377.1, ENSGACP00000002424.1, ENSGACP00000002553.1, ENSGACP00000002679.1, ENSGACP00000002716.1, ENSGACP00000002860.1, ENSGACP00000003134.1, ENSGACP00000007507.1, ENSGACP00000008310.1, ENSGACP00000013783.1, ENSGACP00000014304.1, ENSGACP00000014830.1, ENSGACP00000014837.1, ENSGACP00000014848.1, ENSGACP00000014917.1, ENSGACP00000015914.1, ENSGACP00000016047.1, ENSGACP00000017702.1, ENSGACP00000017866.1, ENSGACP00000017896.1, ENSGACP00000018678.1, ENSGACP00000018719.1, ENSGACP00000018855.1, ENSGACP00000019443.1, ENSGACP00000019462.1, ENSGACP00000019505.1, ENSGACP00000020353.1, ENSGACP00000020637.1, ENSGACP00000020699.1, ENSGACP00000023432.1, ENSGACP00000023514.1, ENSGACP00000023836.1, ENSGACP00000023837.1, ENSGACP00000023867.1, ENSGACP00000026132.1, ENSGACP00000026574.1
OG0000001	XP_010783552.1, XP_010790163.1	ENSGACP00000000004.1, ENSGACP00000000036.1, ENSGACP00000000067.1, ENSGACP00000000068.1, ENSGACP00000000174.1, ENSGACP00000000210.1, ENSGACP00000000228.1, ENSGACP00000000233.1, ENSGACP00000000242.1, ENSGACP00000000285.1, ENSGACP00000000364.1, ENSGACP00000000406.1, ENSGACP00000000493.1, ENSGACP00000000508.1, ENSGACP00000000518.1, ENSGACP00000000531.1, ENSGACP00000000680.1, ENSGACP00000000872.1, ENSGACP00000000989.1, ENSGACP00000001012.1, ENSGACP00000001088.1, ENSGACP00000001203.1, ENSGACP00000001214.1, ENSGACP00000001245.1, ENSGACP00000001295.1, ENSGACP00000001317.1, ENSGACP00000001347.1, ENSGACP00000001425.1, ENSGACP00000001553.1, ENSGACP00000001558.1, ENSGACP00000001783.1, ENSGACP00000001810.1, ENSGACP00000001832.1, ENSGACP00000001937.1, ENSGACP00000002090.1, ENSGACP00000002097.1, ENSGACP00000002150.1, ENSGACP00000002233.1, ENSGACP00000002247.1, ENSGACP00000002299.1, ENSGACP00000002318.1, ENSGACP00000002357.1, ENSGACP00000002366.1, ENSGACP00000002869.1, ENSGACP00000014832.1, ENSGACP00000015904.1, ENSGACP00000016801.1, ENSGACP00000017095.1, ENSGACP00000018881.1, ENSGACP00000019500.1, ENSGACP00000019552.1, ENSGACP00000019576.1, ENSGACP00000020638.1, ENSGACP00000020690.1, ENSGACP00000020700.1, ENSGACP00000023508.1, ENSGACP00000023841.1, ENSGACP00000025430.1, ENSGACP00000026462.1
OG0000002	XP_010772376.1, XP_010778403.1, XP_010790873.1, XP_010792996.1	ENSGACP00000000349.1, ENSGACP00000000567.1, ENSGACP00000001626.1, ENSGACP00000001644.1, ENSGACP00000001659.1, ENSGACP00000002671.1, ENSGACP00000002703.1, ENSGACP00000002721.1, ENSGACP00000003371.1, ENSGACP00000003380.1, ENSGACP00000003537.1, ENSGACP00000003542.1, ENSGACP00000003570.1, ENSGACP00000003576.1, ENSGACP00000003693.1, ENSGACP00000003714.1, ENSGACP00000003730.1, ENSGACP00000018374.1, ENSGACP00000018382.1, ENSGACP00000018399.1, ENSGACP00000019637.1
OG0000003	XP_010781913.1	ENSGACP00000000600.1, ENSGACP00000002908.1, ENSGACP00000002948.1, ENSGACP00000005052.1, ENSGACP00000005507.1, ENSGACP00000006188.1, ENSGACP00000006425.1, ENSGACP00000007019.1, ENSGACP00000007303.1, ENSGACP00000009151.1, ENSGACP00000014646.1, ENSGACP00000016647.1, ENSGACP00000018685.1, ENSGACP00000019257.1, ENSGACP00000021143.1, ENSGACP00000022035.1, ENSGACP00000023293.1, ENSGACP00000023396.1, ENSGACP00000023807.1, ENSGACP00000024461.1, ENSGACP00000025258.1, ENSGACP00000025460.1, ENSGACP00000025755.1
OG0000004		ENSGACP00000000732.1, ENSGACP00000000733.1, ENSGACP00000000734.1, ENSGACP00000001669.1, ENSGACP00000001670.1, ENSGACP00000001671.1, ENSGACP00000002212.1, ENSGACP00000012256.1, ENSGACP00000012267.1, ENSGACP00000012285.1, ENSGACP00000012523.1, ENSGACP00000016857.1, ENSGACP00000016859.1, ENSGACP00000016873.1, ENSGACP00000016877.1, ENSGACP00000016879.1, ENSGACP00000016882.1, ENSGACP00000016900.1, ENSGACP00000016904.1, ENSGACP00000016913.1, ENSGACP00000016915.1, ENSGACP00000016918.1, ENSGACP00000016922.1, ENSGACP00000016924.1
OG0000005	XP_010794310.1, XP_010794314.1, XP_010794315.1, XP_010794317.1, XP_010794318.1, XP_010794319.1, XP_010794320.1, XP_010794322.1, XP_010794323.1, XP_010794324.1, XP_010794325.1, XP_010794326.1, XP_010794328.1, XP_010794329.1, XP_010794330.1, XP_010794331.1, XP_010794332.1, XP_010794333.1, XP_010794334.1, XP_010794335.1, XP_010794339.1	ENSGACP00000011641.1
OG0000006	XP_010782978.1, XP_010782979.1, XP_010782980.1, XP_010782981.1, XP_010782982.1, XP_010782983.1, XP_010782984.1, XP_010782985.1, XP_010782986.1, XP_010782987.1, XP_010782988.1, XP_010782989.1, XP_010782990.1, XP_010782991.1, XP_010782992.1, XP_010782994.1, XP_010782995.1	ENSGACP00000005591.1, ENSGACP00000005595.1, ENSGACP00000005597.1, ENSGACP00000005601.1
OG0000007	XP_010767077.1, XP_010767078.1, XP_010768287.1, XP_010769941.1, XP_010769942.1, XP_010769944.1, XP_010783819.1, XP_010784363.1, XP_010787232.1, XP_010787233.1, XP_010789188.1	ENSGACP00000011498.1, ENSGACP00000011513.1, ENSGACP00000011519.1, ENSGACP00000011537.1, ENSGACP00000011547.1, ENSGACP00000011562.1
OG0000008	XP_010768027.1, XP_010770452.1, XP_010776070.1, XP_010786933.1, XP_010787183.1	ENSGACP00000000563.1, ENSGACP00000001636.1, ENSGACP00000001651.1, ENSGACP00000002305.1, ENSGACP00000002675.1, ENSGACP00000003705.1, ENSGACP00000006729.1, ENSGACP00000007644.1, ENSGACP00000011861.1, ENSGACP00000018383.1, ENSGACP00000019640.1, ENSGACP00000023824.1
OG0000009	XP_010776947.1	ENSGACP00000000269.1, ENSGACP00000000272.1, ENSGACP00000001098.1, ENSGACP00000001101.1, ENSGACP00000002278.1, ENSGACP00000002286.1, ENSGACP00000002302.1, ENSGACP00000002307.1, ENSGACP00000024914.1, ENSGACP00000024916.1, ENSGACP00000024920.1, ENSGACP00000024923.1, ENSGACP00000024926.1, ENSGACP00000024928.1, ENSGACP00000026656.1, ENSGACP00000026657.1
