record	segment_length
contig11721	5
contig26453	5
contig13936	5
contig28815	5
contig20858	5
contig24980	5
contig21450	6
contig26459	5
contig20797	5
contig31976	5
contig13004	5
contig11532	5
contig39553	8
contig27441	7
contig27441	5
contig21599	5
contig26711	6
contig26715	5
contig40288	5
contig11099	5
contig11096	5
contig41223	6
contig23997	5
contig22576	5
contig31789	8
contig36860	5
contig06796	5
contig27291	5
contig14948	5
contig14948	6
contig36256	5
contig36256	7
contig41035	7
contig21127	5
contig29639	6
contig20529	5
contig20529	5
contig20521	9
contig20521	5
contig20521	5
contig20527	6
contig20527	5
contig22965	5
contig22966	5
contig22966	8
contig11289	5
contig11289	6
contig11287	5
contig11287	6
contig11287	6
contig13029	9
contig22031	7
contig22034	5
contig04658	7
contig09338	5
contig05653	8
contig26805	7
contig23980	5
contig30147	5
contig30147	5
contig22581	5
contig24658	6
contig24380	5
contig24472	5
contig27568	5
contig36015	5
contig24401	5
contig28390	5
contig28395	6
contig30084	8
contig40096	7
contig12068	5
contig11912	6
contig11169	5
contig11169	5
contig11169	5
contig11169	5
contig11169	5
contig09578	5
contig21627	5
contig21629	7
contig26820	5
contig33508	8
contig21085	5
contig11139	5
contig11139	6
contig11139	5
contig20970	5
contig20970	5
contig11135	5
contig11130	8
contig11885	8
contig21888	5
contig24459	7
contig24459	6
contig29175	6
contig22539	5
contig22536	6
contig23223	5
contig36075	5
contig36075	6
contig36073	8
contig36293	8
contig29882	7
contig29882	8
contig08276	5
contig32595	6
contig34560	8
contig34560	7
contig04970	5
contig24026	5
contig38334	5
contig16214	5
contig16214	5
contig07723	7
contig13796	6
contig18203	5
contig27649	6
contig11481	5
contig20917	5
contig11030	5
contig25522	5
contig22518	5
contig23522	5
contig26186	7
contig04777	7
contig04777	6
contig13895	5
contig36944	5
contig29754	6
contig29754	5
contig34430	6
contig34430	5
contig21769	5
contig13945	6
contig30519	6
contig24558	7
contig29030	6
contig29030	10
contig33912	5
contig27114	5
contig25841	7
contig38716	8
contig24636	5
contig21226	5
contig21224	5
contig06562	5
contig06562	5
contig06562	5
contig30701	7
contig30701	5
contig23265	5
contig42225	5
contig22799	6
contig42228	5
contig12638	6
contig13322	5
contig11786	7
contig27564	5
contig26553	5
contig10164	5
