record	sig_segments	total_length
ENSGMOP00000000754.1	1	10
ENSGMOP00000000768.1	1	11
ENSGMOP00000000830.1	1	10
ENSGMOP00000001070.1	1	10
ENSGMOP00000001147.1	1	11
ENSGMOP00000001273.1	1	11
ENSGMOP00000001338.1	1	13
ENSGMOP00000001453.1	1	10
ENSGMOP00000002466.1	1	10
ENSGMOP00000002574.1	1	12
ENSGMOP00000002591.1	1	12
ENSGMOP00000002593.1	1	12
ENSGMOP00000002659.1	1	10
ENSGMOP00000002795.1	2	21
ENSGMOP00000002799.1	1	10
ENSGMOP00000003166.1	1	11
ENSGMOP00000003252.1	1	12
ENSGMOP00000003321.1	1	13
ENSGMOP00000003472.1	1	10
ENSGMOP00000003504.1	1	10
ENSGMOP00000003709.1	1	14
ENSGMOP00000004057.1	1	13
ENSGMOP00000004013.1	1	13
ENSGMOP00000004197.1	1	10
ENSGMOP00000004382.1	1	11
ENSGMOP00000004810.1	1	12
ENSGMOP00000005001.1	1	10
ENSGMOP00000005091.1	1	14
ENSGMOP00000005154.1	1	12
ENSGMOP00000005645.1	1	13
ENSGMOP00000007214.1	1	16
ENSGMOP00000007375.1	1	12
ENSGMOP00000007440.1	1	12
ENSGMOP00000007627.1	1	17
ENSGMOP00000007745.1	1	10
ENSGMOP00000008255.1	1	13
ENSGMOP00000008401.1	1	15
ENSGMOP00000008494.1	1	11
ENSGMOP00000008525.1	1	13
ENSGMOP00000008652.1	1	10
ENSGMOP00000008871.1	1	14
ENSGMOP00000008887.1	1	11
ENSGMOP00000008973.1	1	10
ENSGMOP00000009591.1	1	10
ENSGMOP00000009843.1	1	16
ENSGMOP00000009935.1	1	16
ENSGMOP00000010451.1	1	11
ENSGMOP00000010405.1	1	13
ENSGMOP00000010449.1	1	30
ENSGMOP00000010626.1	1	10
ENSGMOP00000010856.1	1	14
ENSGMOP00000010914.1	1	11
ENSGMOP00000011308.1	1	12
ENSGMOP00000011369.1	1	11
ENSGMOP00000011443.1	1	13
ENSGMOP00000011456.1	1	17
ENSGMOP00000011658.1	1	11
ENSGMOP00000011735.1	1	15
ENSGMOP00000012065.1	1	11
ENSGMOP00000012675.1	1	11
ENSGMOP00000012774.1	1	12
ENSGMOP00000012948.1	1	12
ENSGMOP00000013022.1	1	11
ENSGMOP00000013193.1	1	12
ENSGMOP00000013195.1	1	12
ENSGMOP00000013202.1	1	12
ENSGMOP00000013203.1	1	12
ENSGMOP00000013578.1	1	21
ENSGMOP00000013914.1	1	12
ENSGMOP00000013977.1	1	10
ENSGMOP00000014045.1	2	21
ENSGMOP00000014073.1	1	12
ENSGMOP00000014068.1	1	14
ENSGMOP00000014535.1	1	10
ENSGMOP00000014853.1	1	11
ENSGMOP00000014858.1	1	10
ENSGMOP00000014910.1	1	21
ENSGMOP00000015233.1	1	15
ENSGMOP00000015786.1	1	12
ENSGMOP00000015930.1	1	14
ENSGMOP00000016360.1	1	12
ENSGMOP00000016592.1	1	10
ENSGMOP00000016710.1	1	13
ENSGMOP00000017016.1	1	10
ENSGMOP00000016998.1	1	18
ENSGMOP00000017089.1	1	10
ENSGMOP00000017103.1	1	13
ENSGMOP00000017601.1	1	11
ENSGMOP00000017715.1	1	11
ENSGMOP00000017887.1	1	14
ENSGMOP00000018341.1	1	15
ENSGMOP00000018363.1	1	11
ENSGMOP00000018639.1	1	10
ENSGMOP00000018711.1	1	10
ENSGMOP00000018720.1	2	27
ENSGMOP00000019658.1	1	10
ENSGMOP00000019675.1	1	14
ENSGMOP00000019698.1	1	12
ENSGMOP00000019930.1	1	11
ENSGMOP00000019956.1	1	10
ENSGMOP00000020052.1	1	11
ENSGMOP00000020214.1	2	23
ENSGMOP00000020330.1	1	10
ENSGMOP00000020753.1	1	11
ENSGMOP00000020848.1	1	10
ENSGMOP00000021382.1	1	12
ENSGMOP00000021914.1	1	11
