record	sig_segments	total_length
ENSLOCP00000000030.1	1	10
ENSLOCP00000000033.1	1	10
ENSLOCP00000000106.1	1	13
ENSLOCP00000000191.1	1	13
ENSLOCP00000001014.1	1	13
ENSLOCP00000001131.1	1	11
ENSLOCP00000001208.1	1	10
ENSLOCP00000001226.1	1	10
ENSLOCP00000001278.1	1	10
ENSLOCP00000001500.1	1	12
ENSLOCP00000001619.1	1	10
ENSLOCP00000001616.1	1	10
ENSLOCP00000001622.1	2	28
ENSLOCP00000001675.1	1	18
ENSLOCP00000001689.1	1	18
ENSLOCP00000001809.1	1	16
ENSLOCP00000001855.1	1	11
ENSLOCP00000001892.1	1	11
ENSLOCP00000001916.1	1	10
ENSLOCP00000002179.1	1	10
ENSLOCP00000002281.1	1	10
ENSLOCP00000003190.1	3	46
ENSLOCP00000003224.1	1	16
ENSLOCP00000003395.1	1	10
ENSLOCP00000003401.1	1	10
ENSLOCP00000003474.1	1	13
ENSLOCP00000003586.1	1	10
ENSLOCP00000003641.1	1	20
ENSLOCP00000004070.1	1	11
ENSLOCP00000004211.1	1	10
ENSLOCP00000004342.1	1	10
ENSLOCP00000004543.1	1	10
ENSLOCP00000004713.1	1	17
ENSLOCP00000004760.1	1	11
ENSLOCP00000004775.1	1	25
ENSLOCP00000004928.1	1	10
ENSLOCP00000004945.1	1	10
ENSLOCP00000005030.1	1	10
ENSLOCP00000005582.1	1	11
ENSLOCP00000005635.1	1	10
ENSLOCP00000005641.1	1	11
ENSLOCP00000005659.1	1	11
ENSLOCP00000005675.1	1	10
ENSLOCP00000005699.1	1	10
ENSLOCP00000005785.1	1	12
ENSLOCP00000005806.1	1	12
ENSLOCP00000006417.1	1	17
ENSLOCP00000006699.1	1	10
ENSLOCP00000006713.1	1	10
ENSLOCP00000006901.1	1	10
ENSLOCP00000006916.1	1	10
ENSLOCP00000007327.1	1	10
ENSLOCP00000007346.1	1	10
ENSLOCP00000007336.1	1	10
ENSLOCP00000007366.1	1	15
ENSLOCP00000007503.1	1	11
ENSLOCP00000007650.1	1	16
ENSLOCP00000007690.1	1	11
ENSLOCP00000007816.1	2	62
ENSLOCP00000007937.1	1	15
ENSLOCP00000008175.1	1	14
ENSLOCP00000008315.1	1	10
ENSLOCP00000008341.1	1	10
ENSLOCP00000008323.1	2	24
ENSLOCP00000008328.1	1	14
ENSLOCP00000008337.1	1	12
ENSLOCP00000008445.1	1	10
ENSLOCP00000008553.1	1	10
ENSLOCP00000008582.1	1	13
ENSLOCP00000008635.1	1	18
ENSLOCP00000008760.1	1	14
ENSLOCP00000008934.1	1	10
ENSLOCP00000008954.1	1	10
ENSLOCP00000008964.1	1	15
ENSLOCP00000009008.1	1	13
ENSLOCP00000009019.1	1	13
ENSLOCP00000009138.1	1	12
ENSLOCP00000009304.1	1	10
ENSLOCP00000009308.1	1	19
ENSLOCP00000009325.1	1	14
ENSLOCP00000009619.1	1	10
ENSLOCP00000010068.1	1	11
ENSLOCP00000010083.1	1	11
ENSLOCP00000010294.1	1	15
ENSLOCP00000010389.1	1	10
ENSLOCP00000010556.1	1	11
ENSLOCP00000010567.1	1	11
ENSLOCP00000010701.1	1	10
ENSLOCP00000010733.1	1	16
ENSLOCP00000010865.1	1	10
ENSLOCP00000011035.1	1	12
ENSLOCP00000011130.1	1	18
ENSLOCP00000011190.1	1	13
ENSLOCP00000011372.1	1	22
ENSLOCP00000011415.1	1	14
ENSLOCP00000011946.1	1	10
ENSLOCP00000011957.1	1	10
ENSLOCP00000011948.1	1	10
ENSLOCP00000011958.1	1	10
ENSLOCP00000012286.1	1	10
ENSLOCP00000012438.1	1	10
ENSLOCP00000012730.1	1	11
ENSLOCP00000012742.1	1	11
ENSLOCP00000012785.1	1	15
ENSLOCP00000013173.1	1	12
ENSLOCP00000013182.1	1	12
ENSLOCP00000013985.1	1	12
ENSLOCP00000014043.1	1	10
ENSLOCP00000014047.1	1	17
ENSLOCP00000014071.1	1	11
ENSLOCP00000014085.1	1	10
ENSLOCP00000014099.1	1	10
ENSLOCP00000014479.1	1	11
ENSLOCP00000014892.1	1	11
ENSLOCP00000015091.1	1	12
ENSLOCP00000015117.1	1	11
ENSLOCP00000015415.1	3	33
ENSLOCP00000015698.1	1	10
ENSLOCP00000015907.1	1	11
ENSLOCP00000016099.1	1	12
ENSLOCP00000016798.1	1	13
ENSLOCP00000016864.1	1	14
ENSLOCP00000016872.1	1	10
ENSLOCP00000017126.1	1	13
ENSLOCP00000017241.1	1	11
ENSLOCP00000017355.1	1	11
ENSLOCP00000017366.1	1	11
ENSLOCP00000017492.1	1	11
ENSLOCP00000017706.1	1	16
ENSLOCP00000017811.1	1	10
ENSLOCP00000017810.1	1	17
ENSLOCP00000017846.1	1	13
ENSLOCP00000018034.1	1	10
ENSLOCP00000018110.1	1	11
ENSLOCP00000018265.1	1	11
ENSLOCP00000018321.1	1	10
ENSLOCP00000018425.1	1	10
ENSLOCP00000018428.1	1	10
ENSLOCP00000018459.1	1	11
ENSLOCP00000018521.1	1	12
ENSLOCP00000018705.1	1	10
ENSLOCP00000018822.1	1	13
ENSLOCP00000019054.1	1	20
ENSLOCP00000019060.1	1	11
ENSLOCP00000019211.1	2	26
ENSLOCP00000019579.1	1	11
ENSLOCP00000019852.1	1	10
ENSLOCP00000019854.1	1	10
ENSLOCP00000019881.1	1	19
ENSLOCP00000020122.1	1	10
ENSLOCP00000020353.1	1	14
ENSLOCP00000021019.1	1	12
ENSLOCP00000021124.1	1	10
ENSLOCP00000021125.1	1	10
ENSLOCP00000021203.1	1	10
ENSLOCP00000021204.1	1	10
ENSLOCP00000021213.1	1	11
ENSLOCP00000021285.1	1	11
ENSLOCP00000022311.1	1	11
ENSLOCP00000022329.1	1	11
